RAdeg,DEdeg,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist
44.112687,34.673215,1.6361480689213768e+18,Gaia DR3 137209331637091072,1.3720933163709107e+17,1477045698.0,2016.0,44.112696246975354,0.07225941121578217,34.67328816851183,0.06901513040065765,1.8246210310809223,0.0860125,21.213442,8.048343,-1.8692569487588953,0.09266274,7.828263046143189,0.0982566,0.23651809990406036,0.32502428,-0.020075988,0.15270513,-0.028016033,0.12520303,0.30648577,0.12153487,0.25375074,0.40342805,201.0,0.0,199.0,2.0,0.11730732768774033,205.2039794921875,0.11238965392112732,0.31383225321769714,31.0,False,1.3270264,--,--,--,--,--,--,--,23.0,15.0,0.15884383022785187,28.0,10.0,0.0,0.010325917974114418,130.438232421875,0.0,0.0,1.0042402,0.2332876,0.24310355,0.24568158,0.7919145,-64.8791,-40.608025,-53.47554,30.071352,False,241.0,2814.5972973345906,2.6137635707855225,1076.8370361328125,17.063825607299805,25.0,752.7533417981704,12.85476,58.558334,18.14691,24.0,3044.027875690288,12.102932,251.51161,16.039274,1.3489608,0,1,0,0,0.0,2.1076355,1.0830841,1.0245514,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,150.22592254836982,-21.488272501460667,51.84310519300484,17.112099743254916,False,False,0.0,True,False,False,False,False,True,True,False,1.05897055e-13,5.330277e-13,0.99961686,3905.4385,3897.0515,3915.4531,4.6799,4.6699,4.689,-0.0136,-0.046,0.0038,479.6584,471.3822,485.6303,0.8281,0.8044,0.853,0.5771,0.5605,0.5949,0.324,0.3149,0.3335,MARCS,7.520658124076976e-05
44.550407,34.577651,1.6361480689213768e+18,Gaia DR3 137195342928085504,1.371953429280855e+17,1734083143.0,2016.0,44.55040794557338,0.0900752916932106,34.57756157155437,0.08964454382658005,2.936875170902787,0.102648064,28.61111,19.452084,-0.7031069001927621,0.11785442,-19.439373061237468,0.11854041,0.18338464200496674,0.15505446,0.010331866,0.2384331,-0.09052075,0.22066931,0.4581186,0.0492944,0.20033705,0.22674094,209.0,0.0,209.0,0.0,5.114546298980713,345.01580810546875,0.45959901809692383,4.774820327758789,31.0,False,1.246541,--,--,--,--,--,--,--,25.0,14.0,0.18741562962532043,30.0,9.0,0.0,0.04642545431852341,113.82225799560547,0.0,0.0,1.2618443,0.20219184,0.16487646,0.2801006,0.80586433,-105.134834,-11.526072,-47.339916,28.580515,False,251.0,2610.5924938871995,6.674829006195068,391.1100158691406,17.145519256591797,24.0,431.51676266856555,9.65258,44.70481,18.751047,28.0,3514.3464741339076,14.250544,246.6114,15.883284,1.5114819,0,2,0,0,0.0,2.8677635,1.6055279,1.2622356,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,150.6125612267296,-21.391417233991536,52.17292593393897,16.91353449413816,False,False,0.0,True,False,False,False,False,True,True,False,1.5538128e-13,1.6366214e-10,0.9990192,3461.2786,3454.8506,3468.1792,4.2867,4.262,4.3177,-0.2994,-0.3432,-0.235,399.0817,394.5809,404.4481,1.3925,1.3689,1.4168,0.8917,0.8764,0.9073,0.5746,0.5656,0.5838,MARCS,8.769068860697141e-05
44.160405,34.818094,1.6361480689213768e+18,Gaia DR3 140218694962352384,1.4021869496235238e+17,1299981302.0,2016.0,44.16051667803458,0.09254739433526993,34.81796564717435,0.09270164370536804,5.07421771406271,0.11143343,45.535866,37.05024,22.400732456909587,0.117693864,-29.511480027648208,0.1169623,0.23316490650177002,0.06777224,-0.035575572,0.13242835,-0.007956838,0.115260005,0.39209288,0.10052278,0.32805133,0.24850869,180.0,0.0,178.0,2.0,0.7055805325508118,194.68614196777344,0.11694364994764328,0.2016182690858841,31.0,False,1.2836643,--,--,--,--,--,--,--,21.0,13.0,0.1859992891550064,27.0,9.0,0.0,0.02379271574318409,83.5903091430664,0.0,0.0,1.0362207,0.18884099,0.17522138,0.22446722,0.80259335,-106.451096,-31.847673,-48.494717,28.266718,False,217.0,1980.5891592523544,2.1360464096069336,927.2219848632812,17.44538116455078,25.0,441.5650080112968,19.462046,22.68852,18.726055,25.0,2355.8374493885635,20.325819,115.903694,16.317532,1.4124093,1,3,0,3,0.0,2.4085236,1.280674,1.1278496,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,150.185430957336,-21.34317054022659,51.92760161948501,17.238426652431812,False,False,0.0,True,False,False,False,False,True,True,False,1.12239794e-13,1.8057405e-11,0.9990192,3326.6309,3318.3828,3335.229,4.608,4.601,4.6211,-1.1653,-1.1838,-1.1473,190.3803,186.8555,193.9176,0.4278,0.3971,0.4605,0.2813,0.261,0.3029,0.1711,0.159,0.1841,MARCS,0.0001512497266813318
44.468691,34.858905,1.6361480689213768e+18,Gaia DR3 137308283387486976,1.3730828338748698e+17,1258476447.0,2016.0,44.46874869364304,0.13104964792728424,34.858856529764104,0.10771933943033218,2.6984991065672577,0.14414024,18.721344,12.677785,7.412866250595853,0.17436536,-10.28472891566673,0.14354126,0.14462266862392426,-0.054411557,-0.2865339,-0.054717124,-0.06621858,-0.032943357,0.035787363,0.22899763,0.29791576,0.22716886,196.0,0.0,194.0,2.0,1.0978456735610962,275.9111022949219,0.5567580461502075,3.3432323932647705,95.0,False,--,1.190454,0.037543356,0.16441667,-0.06895391,-0.047679007,-0.11289048,-0.08239474,22.0,15.0,0.25632017850875854,27.0,11.0,0.0,0.05462624132633209,74.2330322265625,0.0,0.0,1.0553423,0.16487485,0.19056371,0.21836247,0.7847487,-82.38996,-21.947092,-43.888927,30.261927,False,236.0,1385.1199449918304,1.9469249248504639,711.4398193359375,17.833648681640625,24.0,267.8069181770356,8.546665,31.33467,19.268988,23.0,1717.4341026103766,11.591865,148.15857,16.660696,1.433263,0,2,0,1,0.0,2.6082916,1.435339,1.1729527,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,150.3989193323663,-21.181644410779857,52.19318547953608,17.2020772370728,False,False,0.0,False,False,False,False,False,True,True,False,1.425758e-13,8.941891e-13,0.9996401,3464.3315,3451.5083,3474.077,4.5851,4.553,4.6273,-0.536,-0.5805,-0.4733,385.0183,342.8781,406.4003,1.0025,0.9666,1.0423,0.6549,0.6313,0.6811,0.4078,0.3937,0.4234,MARCS,6.052125460624976e-05
44.618163,34.883898,1.6361480689213768e+18,Gaia DR3 137297567444818688,1.3729756744481869e+17,186802708.0,2016.0,44.61838034760783,0.22820521891117096,34.88366316833031,0.18323372304439545,2.1403783801558003,0.2327199,9.197229,60.59746,49.059097293003276,0.3080124,-35.57045771810625,0.24427807,0.06737253069877625,-0.048544966,-0.28387654,0.15207659,0.01314145,0.17877427,0.13287303,0.21429022,0.060241815,0.13163416,217.0,0.0,216.0,1.0,0.7068348526954651,252.1846466064453,0.4492536783218384,0.5354345440864563,95.0,False,--,1.2238903,0.06367185,0.17617172,-0.055746064,-0.10928938,-0.2394084,-0.01793909,25.0,14.0,0.43939435482025146,29.0,12.0,0.0,0.04845614358782768,70.14447021484375,0.0,0.0,1.0330825,0.13552652,0.20299922,0.22345766,0.79607373,-82.93748,-7.7061014,-43.54137,30.48468,False,248.0,480.2549998709556,1.3741635084152222,349.4889831542969,18.983686447143555,27.0,100.15131858402098,7.1143274,14.077412,20.3369,26.0,569.729433549243,7.5297766,75.66352,17.858725,1.3948439,0,0,0,0,0.0,2.478176,1.3532143,1.1249619,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,150.49948730594787,-21.098651281101294,52.323610269121474,17.18933404628931,False,False,0.0,False,False,False,False,False,True,False,False,1.0273121e-13,1.5887548e-10,0.99992985,3225.3784,3219.6025,3233.076,4.6811,4.6427,4.7444,-1.0877,-1.1001,-1.0711,343.9603,322.268,358.565,0.0304,0.0082,0.0741,0.0196,0.0053,0.0479,0.0125,0.0033,0.0304,MARCS,0.00028810941301854497
43.814426,34.141483,1.6361480689213768e+18,Gaia DR3 137167240957555328,1.3716724095755533e+17,651352072.0,2016.0,43.81441763325919,0.12284572422504425,34.141407360501404,0.10007579624652863,1.3065716138280496,0.14015321,9.322452,6.232027,-2.5859168035886153,0.16950464,-5.670202330890625,0.13303317,0.13917063176631927,0.027374286,-0.27074832,0.088979915,-0.11534632,0.09519378,0.18306552,0.38090557,0.1969213,0.33210784,193.0,0.0,193.0,0.0,-0.45302507281303406,186.8032989501953,0.0,0.0,31.0,False,1.3473257,--,--,--,--,--,--,--,22.0,14.0,0.25427892804145813,26.0,10.0,0.0,0.07188699394464493,76.8795394897461,0.0,0.0,0.97496957,0.21003962,0.2113417,0.32510853,0.7899439,-89.12079,-9.143928,-45.234276,30.2629,False,226.0,1279.1181868459175,1.8615609407424927,687.1212768554688,17.920089721679688,26.0,393.03264004220006,9.84481,39.92283,18.85247,25.0,1305.2384730855633,10.515249,124.12815,16.958672,1.3276889,0,1,0,1,0.0,1.8937988,0.9323807,0.96141815,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,150.2792549804627,-22.07222858416287,51.431363835139926,16.67822625720505,False,False,0.0,False,False,False,False,False,True,True,False,1.04039214e-13,5.6190805e-13,0.99996144,3642.0671,3625.076,3661.061,4.47,4.4333,4.5103,-1.1866,-1.1975,-1.1604,592.4031,565.327,618.3343,0.1871,0.1478,0.2254,0.1316,0.1039,0.1587,0.0716,0.0565,0.0863,PHOENIX,7.52317311551423e-05
44.016574,34.124036,1.6361480689213768e+18,Gaia DR3 137155966666964096,1.371559666669641e+17,1275350926.0,2016.0,44.01653651704294,0.04171520844101906,34.12401705969969,0.031623177230358124,4.3225120196536855,0.04378025,98.73201,4.9049087,-3.3007221247876823,0.05191642,-3.6281351086524305,0.03964525,0.015595068223774433,0.037920997,-0.31259784,0.08232738,-0.07604543,0.08147353,0.052279256,0.3114294,0.06751104,0.12954614,183.0,0.0,180.0,3.0,1.060542106628418,202.10470581054688,0.07846897840499878,0.5771017670631409,31.0,False,1.3144275,--,--,--,--,--,--,--,21.0,13.0,0.07465539127588272,25.0,10.0,0.0,0.015051030553877354,178.41879272460938,0.0,0.0,1.0552808,0.1575505,0.22717176,0.20915866,0.7955221,-56.878155,-3.5096514,-45.16338,31.158434,False,205.0,9374.195128303858,7.767241477966309,1206.8885498046875,15.757532119750977,23.0,2309.223278600715,11.442902,201.804,16.929878,22.0,10559.871184223108,25.142149,420.0067,14.688749,1.3728212,0,0,0,1,0.0,2.241129,1.1723461,1.0687828,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,150.44534159179645,-22.004468774858687,51.59256165640184,16.611595989312747,False,False,0.0,True,False,False,False,False,True,True,False,1.3750302e-13,7.6532276e-13,0.99648726,3741.1013,3737.351,3745.388,4.7122,4.7058,4.7196,-0.0103,-0.0297,0.0016,221.5327,219.0243,223.5598,0.7328,0.7227,0.7423,0.5002,0.4932,0.5068,0.2922,0.2883,0.2959,MARCS,4.2979959147090795e-05
43.770905,33.992117,1.6361480689213768e+18,Gaia DR3 136778804114950656,1.3677880411495066e+17,924208736.0,2016.0,43.77102207858559,0.05097994953393936,33.9920348644928,0.04599768668413162,7.641983178047184,0.059693754,128.0198,23.269165,17.584031512964216,0.066701695,-15.23994321719363,0.05880497,0.09011562913656235,0.10589241,-0.17415608,0.11217818,-0.16805147,0.09045319,0.23904355,0.063065164,0.25141093,0.14444399,186.0,0.0,185.0,1.0,4.019606590270996,280.3027038574219,0.2380664348602295,3.8778975009918213,31.0,False,1.2504474,--,--,--,--,--,--,--,22.0,14.0,0.0956205204129219,27.0,9.0,0.0,0.04247322678565979,75.580810546875,0.0,0.0,1.2171869,0.23715788,0.16773337,0.32482156,0.79558015,-102.159546,-17.09219,-44.81332,28.654259,False,227.0,7628.607200530863,7.104400157928467,1073.7862548828125,15.981253623962402,23.0,1242.5065414315316,13.261315,93.69406,17.602795,22.0,9993.984932624142,19.022379,525.3804,14.7485485,1.4729414,0,1,0,0,0.0,2.8542461,1.621541,1.2327051,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,150.32516397918494,-22.219864251624358,51.348865754860576,16.54648872140832,False,False,0.0,True,False,False,False,False,True,True,False,1.0202513e-11,2.9144598e-10,1.0000274e-06,3418.6675,3415.4785,3422.4587,4.812,4.8078,4.8156,0.07,0.0649,0.0754,131.5356,130.6448,132.385,1.0896,1.0779,1.1056,0.6937,0.6861,0.704,0.4552,0.4505,0.4615,MARCS,0.00011945621329555372
44.033564,34.195119,1.6361480689213768e+18,Gaia DR3 137162293155720448,1.3716229315572045e+17,1349009673.0,2016.0,44.0336457253517,0.5348941087722778,34.19509379420847,0.41452884674072266,2.949018277789145,0.6212788,4.7466908,17.112186,13.673687857421076,0.73268664,-10.2886912286224,0.5415204,0.02294333465397358,0.008756082,-0.29435804,0.08396031,-0.22309901,0.016965188,0.06255305,0.36744994,0.22322989,0.19299701,208.0,0.0,208.0,0.0,83.97862243652344,11315.7197265625,4.401508331298828,522.7022094726562,95.0,False,--,1.4820727,0.13753924,-0.07420678,0.010555181,0.095780596,-0.11745166,-0.021390047,24.0,14.0,1.0610426664352417,29.0,29.0,0.0,0.2281118482351303,88.96297454833984,50.0,0.0,7.361689,0.22121987,0.22455774,0.33450243,0.7856268,-90.55279,-7.1794147,-43.47886,30.387888,False,174.0,2174.244113399141,8.586292266845703,253.22271728515625,17.34409523010254,24.0,845.9517443614701,8.248899,102.55328,18.020178,24.0,2921.9960777092556,14.187201,205.96002,16.083696,1.732992,0,1,0,1,0.0,1.9364815,0.6760826,1.2603989,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,150.42052747182652,-21.935746291100564,51.62881016445123,16.675205500358416,False,False,0.0,True,False,False,False,False,False,True,False,1.02716155e-13,1.0864408e-07,0.9999313,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,6.349748275565387e-05
43.551014,34.375316,1.6361480689213768e+18,Gaia DR3 140179490500983296,1.401794905009833e+17,938562764.0,2016.0,43.55095377998721,0.07372021675109863,34.375226288385804,0.05916351452469826,3.2066042072990646,0.080407046,39.879642,15.981546,-6.681801107776367,0.09560556,-14.517691753180618,0.07331841,0.0829072818160057,0.14372991,-0.18150967,0.026968997,-0.03956135,0.005479675,0.10202043,0.2309344,0.06742233,0.0928195,173.0,0.0,172.0,1.0,0.8838639855384827,191.68299865722656,0.12802955508232117,0.4357590675354004,31.0,False,1.2871277,--,--,--,--,--,--,--,20.0,14.0,0.13449673354625702,25.0,10.0,0.0,0.08625771105289459,173.6929473876953,0.0,0.0,1.0467234,0.20402156,0.19309463,0.17280298,0.79304415,-44.000202,-8.140487,-52.058273,30.7702,False,214.0,3160.5886917767048,3.0101518630981445,1049.9764404296875,16.937946319580078,22.0,694.8746184078009,12.759167,54.460815,18.233776,22.0,3760.6262147265,16.146019,232.91353,15.809745,1.409706,0,0,0,0,0.0,2.4240313,1.2958298,1.1282015,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,149.95067085419223,-21.975774393317046,51.2877992077358,16.96667708480779,False,False,0.0,True,False,False,False,False,True,True,False,1.09649574e-13,5.492551e-13,0.9992449,3577.0476,3554.0383,3604.2004,4.5,4.3549,4.5523,-0.67,-0.759,-0.5678,311.9956,299.803,427.9949,0.9757,0.9451,1.0352,0.6526,0.6318,0.6932,0.3896,0.3774,0.4139,MARCS,0.00010528298265905601
