DEdeg,solution_id,designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,grp,distance,mag,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error
21.649591,1.64e+18,Gaia DR3 52470962620208512,5.25e+16,63.53708281,0.020966807,21.64944256,0.012004272,14.94773758,0.02100414,711.65674,1.1982033,84961.71387,13.36430836,14.933664,12.143935,2.789729,1.22037336,66.89975621046459,9.237185684213419,,,,,,,,
29.902361,1.64e+18,Gaia DR3 4020807438868686080,4.02e+18,176.0782122,0.014550344,29.90198764,0.011741418,11.15622704,0.015695333,710.79895,1.0139606,82204.75102,13.40012455,14.3861,12.415575,1.9705248,0.9845495499999988,89.63603881621972,8.637711269981462,,,,,,,,
-24.78166667,1.64e+18,Gaia DR3 5652718166073269888,5.65e+18,133.4877942,0.038642753,-24.78164537,0.035445299,38.8220006,0.054821067,708.15845,1.0370897,9046.091412,15.7962141,18.227554,14.408044,3.8195105,1.3881701,25.758590091825404,13.74160365984094,,,,,,,,
56.973471,1.64e+18,Gaia DR3 1034112302494592000,1.03e+18,126.9569417,0.013042168,56.97320278,0.011507219,11.11264503,0.015841627,701.4838,1.0105453,51042.39527,13.9175396,15.094611,12.841933,2.252678,1.0756066000000004,89.98757697203256,9.146626809741832,,,,,,,,
56.535972,1.64e+18,Gaia DR3 1657965235771086848,1.66e+18,210.6101442,0.011204183,56.53542657,0.010558316,9.049280352,0.012916494,700.5988,1.3443156,88387.26484,13.32139301,14.346248,12.314113,2.032135,1.0072800099999988,110.50602491047677,8.104463225593756,,,,,,,,
2.316766,1.64e+18,Gaia DR3 3090356860714991360,3.09e+18,124.7650984,0.017554108,2.316753195,0.013340686,16.36490271,0.023573587,694.205,1.1246916,64893.51106,13.65686321,15.012191,12.508723,2.5034676,1.1481402099999993,61.10638222058822,9.726430348768314,,,,,,,,
46.811003,1.64e+18,Gaia DR3 401216401478225920,4.01e+17,16.35000202,0.016637487,46.81077293,0.01085458,12.94251603,0.018908054,684.49756,1.0728071,55023.98034,13.83598709,15.071127,12.738223,2.3329039,1.09776409,77.26472949170456,9.396080647756133,,,,,,,,
41.721667,1.64e+18,Gaia DR3 806901587573550208,8.07e+17,151.4073886,0.013656891,41.72184179,0.013679604,14.15697408,0.02097432,674.96704,1.0116739,35470.26337,14.31270599,15.420456,13.268171,2.1522846,1.044534989999999,70.63656360102625,10.067558174568452,,,,,,,,
21.542063,1.64e+18,Gaia DR3 3375417894600875648,3.38e+18,92.77851677,0.015258332,21.54194112,0.015503789,14.08186332,0.020894991,673.9349,1.0469743,78485.77381,13.45038986,14.560458,12.403404,2.157054,1.0469858599999995,71.01332950588531,9.193690483481035,,,,,,,,
57.474058,1.64e+18,Gaia DR3 1034472358193129856,1.03e+18,128.5592977,0.009284774,57.47356667,0.008285209,8.093163264,0.012186687,664.0987,1.0947521,94486.05418,13.24894714,14.083576,12.346701,1.7368755,0.9022461400000008,123.56108080114966,7.789538647683202,,,,,,,,
