RAdeg,DEdeg
121.602682,55.098277
121.707908,55.100555
121.743483,55.734212
121.834157,55.737915
121.425248,55.675011
121.662869,55.612851
121.554201,55.626658
120.654491,55.447782
121.261801,55.426544
120.912239,55.489678
120.741957,55.484416
121.211614,55.371693
121.165596,55.113179
120.967552,55.285972
122.108319,55.496276
121.873302,55.670709
122.244253,55.632154
122.049814,55.697882
121.576827,56.051068
121.75809,56.229112
121.731775,56.102324
125.319507,58.091718
124.460979,57.800292
124.228223,58.000075
124.436904,57.839632
125.981738,58.210452
125.858406,58.298321
125.439346,58.326441
124.797829,58.285573
124.904617,58.441244
124.729507,58.002616
126.226567,58.098314
126.30215,58.23585
126.646949,57.667421
125.938884,58.058428
127.762824,57.549958
128.397931,57.375719
128.673397,56.665194
128.619759,56.578492
128.678191,56.183104
128.820356,56.283117
127.593609,56.236353
128.166731,56.419716
128.108536,56.690024
127.408777,57.044503
127.552096,57.207858
128.399855,56.590033
127.810726,56.530236
127.977349,56.625944
127.843663,56.498602
127.466055,56.860022
127.590434,56.734485
127.330298,56.923026
127.644484,56.575433
120.848666,57.412479
121.31883,57.680185
121.5885,57.408605
121.869615,58.177785
122.134906,58.206669
122.30217,58.376209
122.503913,57.945719
122.887403,57.971235
122.545169,58.072952
122.867165,58.144567
123.145639,58.002536
122.49196,57.907458
121.946508,57.407763
121.700224,57.5925
121.666837,57.529312
123.886741,57.777794
123.431944,57.937727
123.501727,58.27586
123.227734,58.219688
122.685309,57.800344
122.819193,57.628886
122.803881,57.70748
122.483772,57.805548
122.60149,57.671746
123.056974,57.718094
121.974192,57.944713
122.160279,57.924745
121.355557,57.844003
121.770811,57.715739
121.760747,57.828507
122.841186,58.309078
90.312453,22.699988
89.943223,22.850934
89.476632,23.299813
89.623027,23.446283
89.622736,23.189512
89.575952,23.773627
89.686686,23.599268
90.398293,23.847098
90.310696,23.628292
90.538543,23.776575
90.151722,23.827929
90.334197,23.37744
90.31071,23.130252
90.283051,23.058299
90.253564,23.171096
89.571677,22.781362
89.7559,22.872107
89.744022,22.649187
90.761024,23.577897
90.597634,23.567122
91.280237,23.385515
91.288311,22.993162
91.213532,23.155939
91.200756,22.993595
91.044303,23.089632
90.953664,22.907754
90.819071,22.883513
90.485522,23.351456
90.683062,23.269568
90.925492,23.005527
90.692774,22.940253
91.388741,23.760339
91.484946,23.627756
91.751836,23.195846
90.879755,22.114439
90.304387,22.467972
90.039884,22.552129
90.287029,21.875315
90.337828,21.986175
90.212887,21.75847
92.114873,23.537702
91.777732,23.319909
91.641334,23.523901
92.094393,23.951913
91.869611,23.833121
91.979562,24.336177
91.8465,24.380295
91.826424,24.709553
91.61663,24.396925
92.207165,23.528174
91.398636,24.093653
92.320167,24.081118
91.673024,23.736757
91.907301,23.57885
92.180217,23.332933
92.418413,23.454111
88.864624,23.110824
88.371572,22.934237
88.816423,22.756266
88.411599,22.749956
88.727608,23.122431
88.652114,23.119756
88.718532,22.985062
88.978098,22.386937
89.275908,23.088218
89.377065,23.026386
91.869297,25.424068
91.875342,25.52401
91.509204,25.640154
91.586847,25.136031
91.478904,25.106879
90.790418,24.924697
90.713016,25.074069
90.766385,24.978927
90.417282,25.544014
91.251817,25.231379
90.84643,25.362495
91.259264,24.858034
91.058432,24.795697
92.584169,24.667806
92.162236,25.191461
91.829702,25.174753
92.154025,24.834581
92.100128,24.780661
91.657367,24.846878
91.878512,25.012565
91.695948,24.784521
91.862989,24.905987
93.306471,23.99616
93.328849,23.939393
93.620571,23.634071
93.364888,23.348275
92.971496,23.459392
92.951986,24.192218
92.380532,24.052779
92.640631,24.187137
93.281099,24.075931
92.65752,23.572007
92.642341,23.886878
92.802599,23.716674
92.506471,23.880897
92.732218,23.608426
