RAdeg,DEdeg,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,RA,dec
9.5119341,0.8372754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.626948,26.782456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.6811333,-0.4849558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.842987,7.496609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.943206,36.017881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.985049,37.0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.985223,37.841784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.986995,42.25353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.031479,39.407612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.109077,45.330274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.331263,36.959353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.346978,37.865182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.367688,5.602053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.381544,34.801012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.429733,31.458308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.432873,37.726802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.494523,0.247997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.62774,34.610113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.658605,35.017623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.690799,-0.260165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.802231,37.870311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.816584,37.578858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.84391,1.066298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.000559,0.32324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.005276,8.294334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.033133,37.128589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.041921,0.17961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.080577,37.355929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.1689,37.227101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.249316,27.152794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.55766,33.836202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.55766,33.836202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.634272,40.718656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.668433,40.783838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.848605,39.642602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.889697,-1.064268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.914833,0.442821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.928242,-1.169323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.947344,33.562238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.994854,35.678462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.029168,37.367229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.073793,41.40747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.075347,39.919237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.134746,38.99262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.14843,36.179265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.243782,38.535294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.25592,0.051516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.386587,26.741995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.404276,26.549789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
