designation,source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,grp,distance,mag,DEdeg,solution_id,ra_error,dec_error,parallax_over_error,bp_rp,2MASS_RAJ2000,2MASS_DEJ2000,2MASS_2MASS,2MASS_Jmag,2MASS_e_Jmag,2MASS_Hmag,2MASS_e_Hmag,2MASS_Kmag,2MASS_e_Kmag,2MASS_Qflg,2MASS_Rflg,2MASS_Bflg,2MASS_Cflg,2MASS_Xflg,2MASS_Aflg
Gaia DR3 1483992942586072192,1.48E+18,214.0356202,36.48056324,3.748029205,0.1794335,1.0177283,526.8300401,,,18.88319016,,,,20.263264,,,,17.706417,1.17677316,266.8068858,11.75220499,36.480506,1.64E+18,0.096749082,0.130654112,20.888124,2.5568466,214.035416,36.480331,14160849+3628491,16.29500008,0.097999997,15.67199993,0.116999999,15.60499954,0.219,ABD,222,111,0,0,0
Gaia DR3 1483992942586072192,1.48E+18,214.0356202,36.48056324,3.748029205,0.1794335,1.0177283,526.8300401,,,18.88319016,,,,20.263264,,,,17.706417,1.17677316,266.8068858,11.75220499,36.480506,1.64E+18,0.096749082,0.130654112,20.888124,2.5568466,214.035416,36.480331,14160849+3628491,16.29500008,0.097999997,15.67199993,0.116999999,15.60499954,0.219,ABD,222,111,0,0,0
Gaia DR3 1593472277436997504,1.59E+18,222.8949612,51.13677068,3.791736277,0.16000925,1.0017222,532.4124625,,,18.87174606,,,,20.081327,,,,17.79201,1.07973606,263.731422,11.76593668,51.137211,1.64E+18,0.130487397,0.137649387,23.696981,2.289318,222.894607,51.137352,14513470+5108144,16.42000008,0.114,15.65100002,0.144999996,15.32600021,--,BBU,220,110,0,0,0
Gaia DR3 892885492809442048,8.93E+17,111.7753182,32.0822691,3.373918754,0.14202878,1.0590374,1110.120186,,,18.07394218,,,,18.902132,,,,17.15063,0.92331218,296.3912509,10.71461528,32.082485,1.64E+18,0.127738059,0.112045415,23.755178,1.7515011,111.7752,32.082726,07270604+3204578,16.09700012,0.082000002,15.64900017,0.122000001,15.20800018,0.115,ABB,222,111,0,0,0
Gaia DR3 1558483618417579520,1.56E+18,205.4278123,49.78113313,3.504967584,0.15939128,0.96574354,609.0203217,,,18.72578812,,,,20.154222,,,,17.554169,1.17161912,285.3093434,11.44920815,49.78106484,1.64E+18,0.118408643,0.117913038,21.989706,2.6000538,205.427984,49.781109,13414271+4946519,15.91899967,0.072999999,15.63899994,0.137999997,15.06900024,0.126,ABB,222,111,0,0,0
Gaia DR3 4571028316113484928,4.57E+18,261.7558635,26.30139015,3.751199395,0.16779701,0.9909364,507.215735,,,18.92438507,,,,20.181496,,,,17.805744,1.11864107,266.5814036,11.79523582,26.301273,1.64E+18,0.109087907,0.135513946,22.35558,2.3757515,261.756053,26.30121,17270145+2618043,16.34199905,0.101000004,15.63799953,0.128000006,15.32199955,0.153,ABC,222,111,0,0,0
Gaia DR3 1578036341068684416,1.58E+18,191.118164,58.29868162,3.571509145,0.1495253,1.0036247,667.0019228,,,18.62704849,,,,19.660479,,,,17.621435,1.00561349,279.9936832,11.39130732,58.299033,1.64E+18,0.124173857,0.107550994,23.88565,2.0390434,191.118201,58.299065,12442836+5817566,16.45499992,0.126000002,15.63599968,0.136000007,15.50199986,0.216,BBC,222,111,0,0,0
Gaia DR3 1578036341068684416,1.58E+18,191.118164,58.29868162,3.571509145,0.1495253,1.0036247,667.0019228,,,18.62704849,,,,19.660479,,,,17.621435,1.00561349,279.9936832,11.39130732,58.299033,1.64E+18,0.124173857,0.107550994,23.88565,2.0390434,191.118201,58.299065,12442836+5817566,16.45499992,0.126000002,15.63599968,0.136000007,15.50199986,0.216,BBC,222,111,0,0,0
Gaia DR3 1589904156045987328,1.59E+18,221.8787855,46.29959131,3.522934781,0.12869766,1.0221452,701.0611558,,,18.57297707,,,,19.608068,,,,17.575708,0.99726907,283.8542471,11.30750009,46.299378,1.64E+18,0.107708998,0.110495411,27.373728,2.03236,221.879117,46.299248,14473098+4617572,16.45899963,0.126000002,15.63099957,0.123000003,15.22099972,0.164,BBC,222,111,0,0,0
Gaia DR3 1589904156045987328,1.59E+18,221.8787855,46.29959131,3.522934781,0.12869766,1.0221452,701.0611558,,,18.57297707,,,,19.608068,,,,17.575708,0.99726907,283.8542471,11.30750009,46.299378,1.64E+18,0.107708998,0.110495411,27.373728,2.03236,221.879117,46.299248,14473098+4617572,16.45899963,0.126000002,15.63099957,0.123000003,15.22099972,0.164,BBC,222,111,0,0,0
Gaia DR3 1164405353803437312,1.16E+18,233.9194279,8.361676848,4.744803489,0.1916385,1.0175375,631.7356603,,,18.68602753,,,,19.920122,,,,17.598045,1.08798253,210.7568843,12.06711868,8.3620343,1.64E+18,0.175740451,0.128386006,24.759134,2.3220768,233.919725,8.362173,15354073+0821438,16.17099953,0.103,15.625,0.145999998,15.18900013,--,BBU,220,110,0,0,0
Gaia DR3 1404095109087989632,1.40E+18,236.4227824,50.5535386,3.975918686,0.14178747,1.0407231,595.0443756,,,18.750994,,,,20.077253,,,,17.5943,1.156694,251.5141981,11.74818147,50.55388426,1.64E+18,0.127757892,0.125278339,28.041399,2.482954,236.42263,50.553955,15454143+5033142,16.02799988,0.081,15.61699963,0.118000001,15.34799957,--,ABU,220,110,0,0,0
Gaia DR3 1299866595095661312,1.30E+18,251.7980273,23.68607209,3.190382329,0.11387083,1.0017762,893.4830881,,,18.30965042,,,,19.30775,,,,17.346672,0.96297842,313.4420571,10.82886408,23.68585839,1.64E+18,0.058211166,0.087695174,28.017557,1.9610786,251.798275,23.685822,16471158+2341089,16.11199951,0.079999998,15.60400009,0.123000003,15.25399971,0.166,ABC,222,111,0,0,0
Gaia DR3 1529757880708940032,1.53E+18,197.2113368,44.99055295,3.61425473,0.16720665,0.9913637,572.3311672,,,18.79324913,,,,20.259516,,,,17.609095,1.18415413,276.6822138,11.58334292,44.990664,1.64E+18,0.096805431,0.116497301,21.615496,2.6504211,197.211304,44.990654,13085071+4459263,16.11400032,0.103,15.5909996,0.150999993,15.24199963,0.135,ABB,222,111,0,0,0
Gaia DR3 644254543328101760,6.44E+17,143.8811133,23.43211443,4.995192242,0.16252196,1.0133811,914.2294164,,,18.284729,,,,19.383036,,,,17.262812,1.021917,200.1924954,11.77749003,23.432368,1.64E+18,0.133655354,0.109028459,30.73549,2.120224,143.881539,23.432547,09353156+2325571,15.93799973,0.071000002,15.57900047,0.105999999,15.48099995,0.146,AAB,222,111,0,0,0
Gaia DR3 1396447803852769920,1.40E+18,236.3544308,43.46942851,5.753857446,0.24429137,0.98929787,332.8256488,,,19.38182449,,,,21.421179,,,,18.037,1.34482449,173.7964504,13.18161998,43.46959591,1.64E+18,0.214645162,0.221197546,23.553257,3.3841782,236.354539,43.469635,15452508+4328106,16.00499916,0.074000001,15.56000042,0.123999998,15.28600025,0.125,ABB,222,111,0,0,0
Gaia DR3 4657889425537694592,4.66E+18,82.50823463,-70.31592751,2.056104605,0.10279598,0.96108145,1031.41106,1.4545821,709.0773,18.153788,253.1115302,7.8983126,32.04628,19.330263,1123.303813,6.7849097,165.55914,17.121653,1.032135,486.3565782,9.719014029,,,,,,,82.507939,-70.316147,05300190-7018581,15.8210001,0.079999998,15.55300045,0.158999994,15.01200008,0.15,ACC,222,111,0,0,0
Gaia DR3 2111208113700480768,2.11E+18,277.6902941,41.20529362,2.536860478,0.09623823,0.96955824,919.5858393,,,18.27838707,,,,19.31748,,,,17.288546,0.98984107,394.1880165,10.29986998,41.205128,1.64E+18,0.082233585,0.096682489,26.360214,2.0289345,277.690903,41.204926,18304581+4112177,16.13400078,0.07,15.55000019,0.086000003,15.08600044,0.118,AAB,222,111,0,0,0
Gaia DR3 1330579150314105472,1.33E+18,244.646827,37.16723824,3.69643811,0.16018155,1.0550388,625.9936956,,,18.69594193,,,,20.014366,,,,17.546768,1.14917393,270.5307029,11.53485913,37.167155,1.64E+18,0.122134179,0.135046259,23.076553,2.467598,244.646796,37.167057,16183523+3710014,16.04700089,0.089000002,15.54899979,0.109999999,15.38300037,0.169,ABC,222,111,0,0,0
Gaia DR3 2557454253681686016,2.56E+18,9.806351381,7.99999574,4.297232439,0.17932989,1.039464,790.2836514,,,18.44290924,,,,19.528465,,,,17.426529,1.01638024,232.7079147,11.60885347,7.99991583,1.64E+18,0.155790091,0.089541808,23.962723,2.1019363,9.805648,7.999816,00391335+0759593,16.07900047,0.094999999,15.51200008,0.114,15.5,0.187,ABC,222,111,0,0,0
Gaia DR3 1497191170927950848,1.50E+18,207.1845729,39.95982636,3.081475394,0.15074517,1.0052366,784.1262731,,,18.45140266,,,,19.394476,,,,17.511478,0.93992466,324.5198719,10.89519618,39.95991,1.64E+18,0.074609689,0.105169609,20.44162,1.8829975,207.185211,39.959927,13484445+3957357,16.18799973,0.089000002,15.5,0.116999999,15.26200008,0.144,ABB,222,111,0,0,0
Gaia DR3 2274005859758240768,2.27E+18,325.01618,74.000176,4.098818687,0.13320819,0.9105882,810.4638154,,,18.41553307,,,,19.53192,,,,17.343832,1.07170107,243.9727337,11.47882661,74.00022498,1.64E+18,0.116813168,0.135343626,30.770021,2.1880875,325.017495,74.000237,21400419+7400008,15.86100006,0.075000003,15.4829998,0.118000001,15.11400032,0.159,ABC,222,111,0,0,0
Gaia DR3 841401616753497088,8.41E+17,172.785861,54.09299297,3.040777009,0.11751609,1.0494318,1096.531144,,,18.08731461,,,,19.097443,,,,17.106743,0.98057161,328.8633126,10.50223747,54.093179,1.64E+18,0.06749396,0.078606308,25.875408,1.9906998,172.786547,54.093109,11310877+5405351,15.91899967,0.094999999,15.4829998,0.143999994,15.22500038,0.167,ABC,222,111,0,0,0
Gaia DR3 929520704851606144,9.30E+17,122.3618266,45.73892321,3.647820112,0.16463935,1.0028888,886.3416849,,,18.31836319,,,,19.348055,,,,17.317255,1.00110819,274.1363251,11.12853026,45.73948,1.64E+18,0.153250381,0.113265775,22.15643,2.0307999,122.361832,45.739529,08092683+4544223,15.91600037,0.071000002,15.47999954,0.090999998,15.16699982,0.114,AAB,222,111,0,0,0
Gaia DR3 1055675851523615488,1.06E+18,167.5876228,64.41991739,3.810750011,0.1562574,0.9710554,560.1608334,,,18.81658554,,,,20.230104,,,,17.6428,1.17378554,262.4155342,11.72163784,64.4201142,1.64E+18,0.132443815,0.13174583,24.387646,2.587305,167.587266,64.42012,11102094+6425124,15.96100044,0.077,15.47599983,0.114,15.24699974,0.156,ABC,222,111,0,0,0
Gaia DR3 1058410925353007232,1.06E+18,161.6506422,64.37971271,3.153734674,0.14065659,1.057116,660.4929131,,,18.63769722,,,,19.968693,,,,17.486422,1.15127522,317.0843788,11.13182299,64.37979461,1.64E+18,0.103132293,0.109686241,22.42152,2.4822712,161.6508,64.379753,10463619+6422471,15.95300007,0.071999997,15.47399998,0.119000003,15.17199993,0.127,ABB,222,111,0,0,0
Gaia DR3 1019815004905982592,1.02E+18,141.1237735,52.56947242,4.51124969,0.15063521,1.0230598,813.8483546,,,18.41100883,,,,19.722906,,,,17.28757,1.12343883,221.6680673,11.68249316,52.569648,1.64E+18,0.115519375,0.093325995,29.948175,2.4353352,141.123935,52.569572,09242974+5234104,15.91399956,0.068000004,15.4659996,0.127000004,14.96100044,0.114,ABB,222,111,0,0,0
Gaia DR3 3814856678919278080,3.81E+18,165.0403677,3.413621896,6.418397139,0.3185555,0.9974973,603.9955295,,,18.73478317,,,,20.088165,,,,17.566338,1.16844517,155.8021385,12.7719161,3.4139485,1.64E+18,0.218795151,0.212327018,20.148441,2.5218277,165.040797,3.413929,11000979+0324501,16.03000069,0.097000003,15.4659996,0.125,14.49699974,--,ABU,220,110,0,0,0
Gaia DR3 1678429822928031744,1.68E+18,200.6559253,66.97336257,2.632921285,0.10978465,0.9949255,913.278585,,,18.28585815,,,,19.28396,,,,17.301447,0.98441115,379.8062653,10.38804753,66.97384522,1.64E+18,0.094496675,0.094968647,23.9826,1.9825134,200.655376,66.973846,13223729+6658258,15.89599991,0.083999999,15.46000004,0.165999994,15.29599953,0.217,ACC,222,111,0,0,0
Gaia DR3 1388054441325097344,1.39E+18,230.9241004,38.82089536,2.004628251,0.09693411,1.0484974,1006.306316,,,18.18054199,,,,19.073627,,,,17.238647,0.94189499,498.8456087,9.690711223,38.820981,1.64E+18,0.071701892,0.080839679,20.680319,1.83498,230.924486,38.820972,15234187+3849154,15.97799969,0.086999997,15.45199966,0.103,15.29300022,0.199,AAC,222,111,0,0,0
Gaia DR3 1512092306558497408,1.51E+18,209.8449427,50.06888766,7.4171626,0.3148973,1.0405468,228.6342495,,,19.78951454,,,,21.189587,,,,18.31764,1.47187454,134.8224454,14.14070354,50.06938559,1.64E+18,0.253742427,0.257457584,23.554228,2.8719463,209.844537,50.069511,13592268+5004102,16.10700035,0.086999997,15.45100021,0.079999998,15.10099983,0.106,AAB,222,111,0,0,0
Gaia DR3 612455017785538560,6.12E+17,135.053095,18.90975636,5.333578521,0.21671872,1.0220538,703.6030881,,,18.56904793,,,,19.992714,,,,17.40479,1.16425793,187.4913805,12.2041414,18.910076,1.64E+18,0.189986929,0.147840142,24.610603,2.587923,135.052783,18.91029,09001266+1854370,15.84000015,0.07,15.43500042,0.086999997,15.33399963,0.129,AAB,222,111,0,0,0
