RAdeg,DEdeg
334.735306,2.89744
334.98709,68.629982
335.85413,6.005758
336.820583,1.654591
337.27588,4.397951
337.286363,32.804981
337.393955,32.193748
337.548667,4.309091
337.918309,32.984028
337.979964,2.710448
338.296644,33.981812
338.357803,1.979581
338.53411,12.42443
338.571862,5.358862
338.64679,1.2134922
338.721511,26.107874
339.159037,32.417622
339.30026,0.23031
340.607349,-1.305901
340.62347,13.553508
341.074,-8.6522327
341.183326,16.210163
341.20041,31.688227
341.29599,29.940327
341.31357,30.20586
341.353,31.097891
341.463979,-0.648831
341.49142,30.991055
341.57974,30.704416
342.679544,5.412003
342.702443,5.470656
343.12542,-9.3077374
343.28567,39.124414
343.91669,40.23855
344.053172,6.210109
344.774947,8.596967
344.83795,0.4092369
345.22052,-9.3046567
345.803018,4.741868
346.75193,-8.6254122
347.03728,1.1131217
347.300424,18.937433
347.39046,-10.511029
347.47527,15.372171
347.489077,27.703362
347.962592,1.205701
348.00062,-9.1090213
348.56044,35.5711
348.56297,13.823801
348.589913,25.059771
348.886333,14.194794
348.886333,14.194794
349.1627,42.471771
349.231413,10.646706
349.24094,1.164443
349.269727,25.019611
349.3582,8.506712
349.843415,24.818665
349.90094,51.801035
349.9149,51.991778
349.922847,24.831964
349.922847,24.831964
349.982698,28.312662
350.02025,13.64302
350.38247,52.782479
350.435592,28.220289
350.45347,43.439678
350.56604,53.431474
350.575992,24.272795
350.597849,15.852719
350.63554,13.553786
350.670077,-0.104226
350.88947,53.306312
351.10846,36.803602
351.29955,36.580443
351.399179,23.115092
351.4221,0.0721173
351.4949,53.586363
351.765679,25.875397
351.871566,21.752327
351.915156,0.338023
351.92074,53.289433
351.92295,43.784305
352.092356,6.852062
352.14754,1.036163
352.16058,1.24028
352.28954,51.558168
352.33071,1.1981617
352.49253,51.679567
352.52038,53.33815
352.534481,26.757538
352.69034,0.287927
352.85486,53.278909
353.065644,24.831491
353.24941,-0.3034076
353.383053,25.936625
353.77493,14.260115
353.88791,9.846847
353.97441,33.517087
354.85797,8.788215
354.87131,9.573085
355.04224,0.2709829
355.08142,45.399794
355.0865,49.273729
355.25843,11.079059
355.40567,9.365102
356.109654,33.168484
356.4243,0.43919
356.6543,-0.09054
356.824344,10.377375
356.90901,0.277904
357.30832,-0.061665
357.31845,-0.021976
357.772223,15.863568
357.87151,43.921943
358.124753,19.065621
358.184499,30.561754
358.35996,0.949098
358.393716,2.910064
358.40393,0.7927919
358.540369,28.288952
358.59557,14.794928
358.686575,4.21815
358.686575,4.21815
359.12833,34.527493
359.568909,10.399504
359.7179,-0.0825
359.85645,1.23413
359.90429,0.4306893
359.943818,18.246032
359.99169,0.9699681
236.4683333,5.040722222
12.57083333,-39.50230556
113.9429167,3.493333333
186.46125,-24.55494444
178.1333333,27.51425
286.7583333,7.615916667
323.0495833,0.221666667
88.64208333,-9.392694444
68.1525,-39.03427778
355.8195833,-24.18788889
108.4191667,-13.46586111
43.19041667,1.930388889
45.41916667,-34.96569444
78.93791667,-72.1895
107.1333333,-47.15847222
201.3083333,-21.45166667
46.61958333,-7.678194444
167.8070833,-41.09241667
246.3083333,15.68172222
249.2733333,-1.533777778
123.3658333,-9.465722222
336.9958333,-30.15833333
320.395,-19.06072222
234.9125,-55.15277778
40.60958333,-59.58377778
107.405,-46.81633333
166.9825,-41.59797222
264.9391667,-82.36727778
30.7175,5.705833333
167.8441667,-6.532333333
214.585,-52.4035
61.52791667,-67.59133333
68.36041667,-77.66936111
218.26375,-38.78322222
280.89875,-78.81736111
299.63,-56.15294444
206.73125,5.715666667
335.1125,-24.36369444
105.32375,-6.930361111
28.2875,-33.41725
28.2875,-33.41725
4.416666667,-10.77136111
316.0020833,-52.49541667
223.8991667,-15.56222222
223.9645833,-39.24252778
188.72125,5.065027778
317.2604167,-52.43827778
22.76708333,-50.41508333
103.52625,-73.96766667
224.4541667,-39.08094444
243.4729167,-30.68288889
269.11625,-59.45505556
304.6195833,-66.11236111
82.42041667,-39.84044444
315.44,-54.62552778
120.3708333,10.71783333
201.3083333,-21.45166667
40.51208333,-44.51630556
259.6458333,-43.44
275.7445833,-45.71258333
119.0558333,-67.08905556
179.2283333,26.66563889
77.91916667,-45.01833333
44.055,-35.14080556
316.10625,-27.88013889
60.91,-5.134833333
235.82625,-20.25916667
13.9325,-21.21819444
97.485,-69.63705556
186.1116667,-4.726861111
233.6154167,2.279861111
349.2708333,-13.85113889
331.0091667,-33.79413889
265.1954167,-56.78277778
289.19375,-36.63494444
66.41,-6.876944444
109.1154167,23.70288889
205.5883333,-35.58075
62.86291667,-44.3025
145.9425,-17.78505556
222.62,-8.643555556
217.91,-25.42608333
24.70416667,11.36019444
328.95,-11.36169444
75.06375,-54.1025
45.52625,-39.84772222
188.5654167,20.61825
133.4875,-24.78166667
91.251942,21.45003
91.418262,21.382317
91.470315,21.551775
91.286424,21.496391
90.506862,20.961156
90.285509,20.946707
90.351321,22.957841
89.483498,23.2136
89.65543,23.273896
90.002328,23.711426
89.64962,22.753183
89.600591,22.841487
90.582224,23.475601
91.631493,23.442842
91.23135,22.830003
91.482921,23.062835
90.460115,23.145891
90.647796,23.181593
90.714081,23.076211
91.275276,23.636682
91.161463,23.728079
91.377069,23.722536
91.653166,23.100161
90.66921,22.252203
91.171104,22.048929
90.406923,21.980196
92.92529,23.088071
93.392264,22.433559
93.278488,22.373676
91.770209,24.237443
92.030892,24.365379
91.571149,24.467762
92.199571,23.339343
90.602768,25.236789
91.796991,25.443944
91.586723,25.178974
90.677274,24.913677
91.077957,25.575545
92.697349,24.855232
92.342168,25.285717
91.978141,25.099002
92.144056,25.092559
91.983693,25.064365
92.370568,24.698779
92.099592,24.659347
92.197612,24.807466
91.980406,24.683971
92.935081,24.651106
93.211083,24.466242
92.304663,25.418313
92.066488,25.567209
93.45067,23.596822
93.369077,23.631516
93.077763,24.157376
93.168298,24.376012
93.324938,24.314093
88.771925,23.874291
89.105867,23.763203
88.784973,23.770758
16.38579,45.271024
20.215633,46.178784
10.130722,40.341337
10.437444,40.086058
9.799361,40.039992
9.798743,40.143788
9.840294,40.07489
10.122052,40.052366
9.88776,40.15205
9.518133,40.774343
9.364235,40.589272
9.370534,41.051019
9.641619,41.247308
