RaH,RaM,RaS,Dec sign,Dec deg,DecM,DecS,RA,DEC,RAdeg,DEdeg
15,12,17.83,,-1,12,35.4,15 12 17.83,-1 12 35.4,228.07429166666662,-1.2098333333333333
15,24,34.64,,0,20,58.0,15 24 34.64,0 20 58.0,231.14433333333332,0.34944444444444445
15,25,39.97,,0,24,10.0,15 25 39.97,0 24 10.0,231.41654166666663,0.4027777777777778
15,36,47.08,,2,55,1.6,15 36 47.08,+2 55 01.6,234.1961666666666,2.9171111111111108
15,41,43.81,,1,26,31.4,15 41 43.81,+1 26 31.4,235.43254166666662,1.4420555555555556
7,44,31.25,,28,39,16.6,07 44 31.25,+28 39 16.6,116.13020833333331,28.65461111111111
9,45,52.72,,0,34,32.4,09 45 52.72,0 34 32.4,146.46966666666665,0.5756666666666667
10,0,40.68,,12,56,10.5,10 00 40.68,+12 56 10.5,150.1695,12.93625
10,16,26.29,,2,41,3.9,10 16 26.29,+2 41 03.9,154.10954166666664,2.684416666666667
10,18,24.97,,2,15,12.5,10 18 24.97,+2 15 12.5,154.60404166666666,2.2534722222222223
10,29,35.81,,11,9,1.6,10 29 35.81,+11 09 01.6,157.3992083333333,11.150444444444444
10,43,9.04,,5,21,12.0,10 43 09.04,+5 21 12.0,160.78766666666667,5.353333333333333
10,47,53.45,,14,59,42.0,10 47 53.45,+14 59 42.0,161.97270833333332,14.995
10,51,2.31,,13,33,46.9,10 51 02.31,+13 33 46.9,162.75962499999997,13.563027777777778
10,53,9.9,,13,14,30.1,10 53 09.9,+13 14 30.1,163.29125,13.241694444444443
11,6,51.29,,4,48,15.0,11 06 51.29,+4 48 15.0,166.7137083333333,4.804166666666666
11,14,47.27,,-1,57,23.4,11 14 47.27,-1 57 23.4,168.6969583333333,-1.9565
11,14,53.35,,12,29,18.8,11 14 53.35,+12 29 18.8,168.72229166666665,12.488555555555555
11,18,14.67,,9,41,12.1,11 18 14.67,+9 41 12.1,169.561125,9.686694444444445
11,44,42.54,,15,51,5.9,11 44 42.54,+15 51 05.9,176.17724999999996,15.851638888888889
12,13,56.96,,-2,55,25.5,12 13 56.96,-2 55 25.5,183.4873333333333,-2.92375
12,18,12.86,,7,6,10.4,12 18 12.86,+7 06 10.4,184.55358333333334,7.102888888888889
12,44,10.11,,27,36,25.8,12 44 10.11,+27 36 25.8,191.04212499999997,27.607166666666668
12,55,51.65,,34,14,21.2,12 55 51.65,+34 14 21.2,193.9652083333333,34.239222222222224
12,59,30.64,,13,16,34.2,12 59 30.64,+13 16 34.2,194.87766666666664,13.276166666666667
13,6,15.21,,4,59,8.9,13 06 15.21,+4 59 08.9,196.56337499999998,4.985805555555555
13,9,59.6,,5,29,38.7,13 09 59.6,+5 29 38.7,197.4983333333333,5.494083333333333
13,10,38.46,,33,39,11.7,13 10 38.46,+33 39 11.7,197.66024999999996,33.65325
13,20,12.19,,5,39,44.0,13 20 12.19,+5 39 44.0,200.05079166666664,5.662222222222223
13,27,37.53,,34,51,3.7,13 27 37.53,+34 51 03.7,201.90637499999997,34.85102777777778
13,27,41.76,,-1,29,15.8,13 27 41.76,-1 29 15.8,201.92399999999995,-1.4877222222222224
13,28,23.36,,30,21,44.9,13 28 23.36,+30 21 44.9,202.0973333333333,30.362472222222223
13,50,53.4,,23,50,24.3,13 50 53.4,+23 50 24.3,207.7225,23.840083333333332
13,55,28.24,,6,51,14.6,13 55 28.24,+6 51 14.6,208.86766666666662,6.854055555555555
14,47,29.91,,-1,59,50.3,14 47 29.91,-1 59 50.3,221.87462499999998,-1.9973055555555557
15,32,41.87,,2,41,46.0,15 32 41.87,+2 41 46.0,233.1744583333333,2.6961111111111116
20,58,19.76,,0,1,3.9,20 58 19.76,0 01 03.9,314.5823333333332,0.01775
