,RAdeg,DEdeg,pmRA,pmDE,e_RAdeg,e_DEdeg,e_pmRA,e_pmDE,flag,Jmag,Hmag,Ksmag,SpType,Dist
386,21.202932,44.207917,8.3,-27.1,63,63,3.9,3.9,P,14.744,14.173,13.978,dM1.0,466
387,21.085049,44.374669,8.6,-10.0,68,68,4.0,4.0,P,15.5,14.921,14.586,dK7.5+,870
388,21.516093,44.990612,3.9,-8.8,67,67,4.1,4.1,P,15.32,14.668,14.371,dM0.0,731
389,21.277374,44.842599,14.4,-28.3,63,63,3.9,3.9,P,13.987,13.339,13.103,dM1.0,329
390,21.225651,44.853217,32.9,-18.4,67,67,4.0,4.0,P,15.215,14.536,14.416,dM2.0+,481
391,20.885875,44.975813,-4.9,-27.9,63,63,3.9,3.9,P,13.239,12.544,12.372,dM1.0,233
392,21.499861,44.758696,3.8,-26.1,63,63,4.0,4.0,P,12.702,12.034,11.851,dM1.5-,166
393,21.266273,44.751512,19.4,-11.9,63,63,3.9,3.9,P,14.475,13.695,13.616,dK7.5,543
394,20.773235,44.771339,-1.5,-1.6,63,63,3.9,3.9,P,14.804,14.2,14.006,dM1.0+,479
395,20.703431,44.498229,-9.7,-1.0,63,63,3.9,3.9,P,14.404,13.768,13.643,dK7.0,576
396,20.752271,44.565705,10.8,-5.5,63,63,3.9,3.9,P,13.934,13.346,13.105,dM3.5,160
397,20.471458,44.161875,15.8,-0.4,64,64,3.9,3.9,P,14.954,14.34,14.05,dM2.0+,427
398,20.599136,44.351655,-14.8,-7.8,69,69,4.0,4.0,P,15.763,15.014,14.699,dM1.0+,745
399,19.968435,44.666931,-31.6,-34.0,63,63,3.9,3.9,P,14.065,13.517,13.299,dM1.5-,311
400,19.265683,44.77579,-1.2,-6.4,63,63,3.9,3.9,P,14.328,13.671,13.564,dK7.0,556
401,19.120941,44.41954,-27.7,-12.1,63,63,3.9,3.9,P,14.254,13.544,13.347,dM0.5-,408
402,19.15138,45.33657,1.6,-1.4,68,68,4.0,4.0,P,15.446,14.802,14.486,dM1.0,644
403,19.325083,45.270176,39.1,-23.1,63,63,3.9,3.9,P,14.272,13.553,13.346,dM3.0+,231
404,19.571028,45.328014,-33.0,-12.1,63,63,3.9,3.9,P,13.069,12.421,12.213,dM0.5,236
405,19.509566,45.169243,-11.3,-22.4,63,63,3.9,3.9,P,13.3,12.631,12.386,dM1.0,239
406,19.423179,45.107278,-7.1,-7.8,63,63,3.9,3.9,P,14.692,14.003,13.728,dK7.5+,600
407,19.608421,44.850668,-3.7,-16.4,63,63,3.9,3.9,P,14.583,13.96,13.694,dM2.5,328
408,20.177208,44.932708,-7.3,-16.1,63,63,3.9,3.9,P,14.685,13.99,13.775,dM2.0+,377
