RAdeg,DEdeg,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist
334.735306,2.89744,1.6361480689213768e+18,Gaia DR3 2706697014234231680,2.706697014234232e+18,1809213211.0,2016.0,334.73530332668383,0.150213822722435,2.897413116056636,0.13872744143009186,0.7099142234190069,0.18663281,3.8038018,7.2166595,-2.957428820889591,0.1879973,6.582840434726077,0.18440726,0.20050658285617828,0.32172614,-0.05352365,-0.32655478,-0.013033647,-0.24806799,-0.30776966,-0.40838662,-0.3451588,0.41213205,164.0,0.0,164.0,0.0,8.18230152130127,369.4779052734375,0.7444416284561157,6.527874946594238,31.0,False,1.3558872,--,--,--,--,--,--,--,19.0,12.0,0.3189283609390259,22.0,7.0,0.0,0.06652861833572388,137.13360595703125,0.0,0.0,1.4899243,0.26786727,0.1696634,0.33124202,0.83737254,-68.49832,-25.44341,-57.065506,24.083971,False,188.0,1549.909287330072,5.9748148918151855,259.4070739746094,17.71160125732422,16.0,490.8746725226928,14.408434,34.068565,18.611116,17.0,1640.2765240577125,6.5476007,250.51566,16.710604,1.3750167,0,1,0,1,0.0,1.9005127,0.89951515,1.0009975,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,66.11639955266624,-42.54639493784049,337.67017466827747,12.470160362484897,False,False,0.0,False,False,False,False,False,True,True,False,4.9194513e-13,8.581614e-09,0.99998313,3664.2441,3643.175,3700.9756,4.0914,4.0533,4.1395,-0.7554,-0.7905,-0.6561,1151.4877,1087.3159,1268.04,0.0759,0.0322,0.1299,0.0535,0.0226,0.0915,0.0295,0.0125,0.0504,PHOENIX,3.28499186352869e-05
334.98709,68.629982,1.6361480689213768e+18,Gaia DR3 2220180234392193408,2.2201802343921935e+18,944782391.0,2016.0,334.98735337893015,0.06838548183441162,68.63028110099552,0.06549706310033798,3.117714462001571,0.07808095,39.92926,108.30489,36.77091668131186,0.085248746,101.87173454076041,0.075944886,0.06078134477138519,-0.019484673,-0.017242774,-0.15044808,0.00287084,-0.13036223,-0.22397225,-0.38672835,0.11884404,-0.0317113,306.0,0.0,306.0,0.0,2.6369504928588867,387.2869873046875,0.2655523121356964,1.5642123222351074,31.0,False,1.3365053,--,--,--,--,--,--,--,35.0,24.0,0.12071828544139862,41.0,15.0,0.0,0.01911824941635132,40.7879753112793,0.0,0.0,1.1082306,0.08548311,0.09155497,0.1434509,0.16748254,-144.7054,-25.663126,30.419077,-35.280163,False,348.0,1996.0092699197492,1.7947245836257935,1112.153564453125,17.436960220336914,37.0,557.14191206997,10.786665,51.65099,18.473627,34.0,2082.7099207099923,10.909693,190.90454,16.451324,1.322565,0,2,0,0,0.0,2.0223026,1.0366669,0.98563576,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,109.81455092839217,9.708693379514083,34.749871492973774,66.30372935770362,False,False,0.0,True,False,False,False,False,True,True,False,1.03982646e-13,5.193881e-13,0.9998059,3542.4075,3533.0718,3553.4375,4.6155,4.6031,4.6407,-1.1489,-1.1843,-1.1105,313.5421,306.3309,321.3439,0.2949,0.2714,0.3169,0.2041,0.1878,0.2194,0.1123,0.1034,0.1208,PHOENIX,0.00030791484149191625
335.85413,6.005758,1.6361480689213768e+18,Gaia DR3 2708543128617137280,2.708543128617137e+18,1648085979.0,2016.0,335.8540417413039,0.10190273076295853,6.005417458723136,0.09970630705356598,2.68527523513547,0.11781652,22.79201,177.7632,-51.47444001977903,0.15306385,-170.1473986905931,0.12479671,0.21187232434749603,0.32225856,-0.2596167,-0.19040012,0.15077552,-0.014597797,-0.4607274,-0.025790103,-0.40814918,-0.21365084,147.0,0.0,147.0,0.0,-1.6976401805877686,120.10706329345703,0.0,0.0,31.0,False,1.3328862,--,--,--,--,--,--,--,17.0,11.0,0.22065919637680054,21.0,8.0,0.0,0.05322832614183426,61.45343017578125,0.0,0.0,0.89870805,0.18452214,0.13877821,0.14941971,0.90902025,-55.56545,-35.641037,-57.966045,23.847054,False,183.0,1843.5120624460303,2.384972095489502,772.9700927734375,17.523252487182617,19.0,507.8961376504685,13.443953,37.77878,18.574104,18.0,1931.1805982118817,14.088661,137.0734,16.533339,1.3230598,0,0,0,0,0.0,2.0407658,1.0508518,0.98991394,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,70.18656214868108,-41.23268934492013,339.9259567557952,14.940264990703689,False,False,0.0,False,False,False,False,False,True,True,False,1.0223355e-13,5.1065147e-13,0.9999791,3590.5857,3556.2126,3604.0146,4.5494,4.3875,4.6137,-1.3036,-1.3725,-1.2259,348.9991,327.9022,389.197,0.4142,0.3832,0.4527,0.2876,0.2659,0.3147,0.1572,0.1452,0.1718,PHOENIX,0.0003578188498203404
336.820583,1.654591,1.6361480689213768e+18,Gaia DR3 2702576873581920128,2.70257687358192e+18,666479177.0,2016.0,336.8206014325638,0.09347309917211533,1.6545652608532184,0.11198113858699799,1.657591873752049,0.1101442,15.049289,8.249081,8.17152681470208,0.13536768,-1.1284890900755957,0.14628558,0.30952370166778564,0.11688433,-0.18166882,-0.23331197,0.05264509,-0.15174447,-0.5149094,-0.2160566,-0.2930751,0.17983225,128.0,0.0,128.0,0.0,-0.13726593554019928,125.92235565185547,0.0,0.0,31.0,False,1.3500401,--,--,--,--,--,--,--,15.0,12.0,0.2249990850687027,19.0,9.0,0.0,0.07048485428094864,154.95297241210938,0.0,0.0,0.98856014,0.11962114,0.16394362,0.21733071,0.9065382,-84.99783,-42.611073,-58.77475,22.190964,False,154.0,2026.9000142949103,2.7813549041748047,728.7455444335938,17.420286178588867,18.0,611.9782333222012,11.03523,55.45677,18.371702,17.0,2050.9619326804986,12.086281,169.69339,16.468002,1.3137995,0,1,0,1,0.0,1.9036999,0.951416,0.95228386,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,66.77018143769668,-44.92611981847241,339.17600719453867,10.544270059090818,False,False,0.0,False,False,False,False,False,True,True,False,1.0275246e-13,5.375336e-13,0.99993235,3591.7883,3580.5115,3601.5027,4.4117,4.4028,4.4299,-1.1061,-1.1442,-1.059,498.854,482.2829,517.4103,0.0761,0.0501,0.0976,0.0534,0.035,0.0684,0.0292,0.0191,0.0374,PHOENIX,3.251372136940602e-05
337.27588,4.397951,1.6361480689213768e+18,Gaia DR3 2704395186641472896,2.704395186641473e+18,978765742.0,2016.0,337.27590928097777,0.02387167699635029,4.397899323418076,0.022576170042157173,5.428121830353522,0.026900196,201.78745,27.907131,9.78720836116576,0.028821995,-26.13462410439199,0.026164584,0.24609355628490448,0.27799007,-0.29796728,-0.22066475,0.019299928,-0.13992387,-0.27982038,-0.11100731,-0.36338863,0.15157779,205.0,0.0,204.0,1.0,-0.9436767101287842,179.54122924804688,0.0,0.0,31.0,False,1.3394766,--,--,--,--,--,--,--,23.0,13.0,0.04339121654629707,26.0,11.0,0.0,0.05772748962044716,161.90447998046875,0.0,0.0,0.9514247,0.22021274,0.1876314,0.2253116,0.880943,-52.645126,-39.526257,-52.148983,25.603224,False,227.0,20486.154854556942,9.148063659667969,2239.39794921875,14.908716201782227,25.0,5767.7063125223995,14.962266,385.4835,15.936034,25.0,21744.801090012308,22.496395,966.59045,13.904507,1.3429805,0,4,0,2,0.0,2.0315275,1.027318,1.0042095,-7.099748,4.7980595,2,12,1,9,5.3379536,--,--,930.7314,--,3900.0,4.5,0.0,101,--,--,--,13.275909,0.08546926,11,--,NOT_AVAILABLE,69.98209585246674,-43.369558191416104,340.6550002320816,12.918279335890544,False,False,0.0,True,True,False,False,False,True,True,False,1.3750302e-13,1.7186869e-12,0.99648726,3903.2607,3895.7573,3916.4312,4.7067,4.7017,4.7095,0.0189,0.007,0.0397,183.1574,181.7311,185.8685,0.6132,0.601,0.6322,0.4294,0.4208,0.443,0.2414,0.2365,0.249,MARCS,6.0497729242603634e-05
337.286363,32.804981,1.6361480689213768e+18,Gaia DR3 1901835025028522496,1.9018350250285225e+18,1473050804.0,2016.0,337.2863279373554,0.023855535313487053,32.80484430648521,0.03414642810821533,2.8310158792950153,0.041833725,67.67306,28.868843,-10.236037247156752,0.03162493,-26.993215263120007,0.042467985,0.10636623203754425,-0.029394437,0.29417297,-0.18708593,-0.23880897,-0.19126078,0.34409228,-0.1460147,-0.36196455,0.02292149,369.0,0.0,368.0,1.0,-0.5962313413619995,358.1747741699219,0.0,0.0,31.0,False,1.3576095,--,--,--,--,--,--,--,42.0,19.0,0.061688002198934555,50.0,13.0,0.0,0.021192075684666634,12.130599021911621,0.0,0.0,0.97704226,0.15157457,0.3953033,0.14160784,0.2702768,-100.51581,-72.49923,-32.64338,25.21378,False,424.0,8811.473551382756,3.5844602584838867,2458.24267578125,15.824745178222656,45.0,2677.624451914349,9.36107,286.0383,16.769169,47.0,8966.466666902785,11.590598,773.59827,14.866343,1.3214692,0,1,0,0,0.0,1.9028263,0.9444237,0.95840263,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,91.30328199765682,-21.1864634256363,353.94390010362605,38.768120153253314,False,False,0.0,True,False,False,False,False,True,True,False,1.1064666e-13,5.5298604e-13,0.99914616,4200.6294,4198.6743,4203.0747,4.6751,4.672,4.6765,0.1337,0.123,0.1401,349.3299,347.8409,350.4896,0.7898,0.7841,0.7962,0.5659,0.5618,0.5705,0.3077,0.3055,0.3102,PHOENIX,0.0001459412563552686
337.393955,32.193748,1.6361480689213768e+18,Gaia DR3 1901027811694973952,1.901027811694974e+18,904053020.0,2016.0,337.393928839964,0.045123983174562454,32.193732276290454,0.055025044828653336,1.8747960938361168,0.07093598,26.42941,12.363285,-7.6905197988787,0.0572462,-9.680222861220301,0.06859377,0.12633280456066132,0.15515658,0.1309961,-0.18673752,-0.014036763,-0.15788113,0.03637755,0.10536761,-0.27947736,0.041038454,426.0,0.0,423.0,3.0,-0.12971627712249756,433.5204772949219,0.0,0.0,31.0,False,1.3350275,--,--,--,--,--,--,--,48.0,20.0,0.09673711657524109,56.0,18.0,0.0,0.014025963842868805,75.21407318115234,0.0,0.0,0.9947209,0.20720288,0.2499153,0.032925215,0.41611922,-85.5135,-72.51008,37.93864,22.882694,False,472.0,2433.8754711280058,1.6527354717254639,1472.6346435546875,17.221620559692383,52.0,676.4623316333962,8.02408,84.30403,18.262934,52.0,2588.839481229606,9.152733,282.8488,16.215132,1.3416059,0,2,0,0,0.0,2.047802,1.0413132,1.0064888,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,91.01951504565756,-21.74499174655462,353.68025863267053,38.18580064920597,False,False,0.0,True,False,False,False,False,True,True,False,1.03514595e-13,5.2462266e-13,0.999853,4151.072,4139.357,4158.2495,4.6605,4.6592,4.6621,0.4718,0.4354,0.495,633.978,629.9947,637.0832,0.9954,0.9767,1.0091,0.7037,0.6901,0.7135,0.3913,0.3842,0.3964,MARCS,3.592670334291935e-05
337.548667,4.309091,1.6361480689213768e+18,Gaia DR3 2704379729054040320,2.70437972905404e+18,1172376703.0,2016.0,337.548812074681,0.02786782570183277,4.309024707299276,0.029089275747537613,3.9197714974047324,0.031701174,123.64753,77.41376,68.20086177358415,0.036041737,-36.62693265345623,0.036736146,0.32907432317733765,0.16887584,-0.3573965,-0.1969168,-0.020797351,-0.1424368,-0.33805475,-0.009808091,-0.35845205,0.21216361,165.0,0.0,163.0,2.0,0.011389091610908508,158.5642547607422,0.0,0.0,31.0,True,1.367627,--,--,--,--,--,--,--,19.0,13.0,0.05786672979593277,23.0,10.0,0.0,0.030521826818585396,71.1197738647461,0.0,0.0,0.99853134,0.17623167,0.31226712,0.28983313,0.86133933,-72.00604,-49.544678,-52.541912,24.8123,False,198.0,18033.891912077142,6.9558796882629395,2592.611328125,15.04714298248291,21.0,5764.199709856974,15.964985,361.0526,15.936695,20.0,17872.779673936482,20.781412,860.0368,14.117415,1.3106977,0,2,0,1,0.0,1.8192797,0.8895521,0.92972755,-38.63278,7.5158186,2,10,1,9,4.1224875,--,--,799.7559,--,3800.0,4.5,-1.0,222,--,--,--,13.833579,0.11025692,11,--,NOT_AVAILABLE,70.1585016018781,-43.6256254808212,340.8791925850081,12.733454602914597,False,False,0.0,True,False,False,False,False,True,True,False,1.0645612e-13,5.31743e-13,0.999561,4199.08,4190.173,4209.8594,4.6661,4.6611,4.6732,0.0312,0.0116,0.0595,256.3864,254.5011,258.4202,0.7506,0.7376,0.7663,0.5432,0.5336,0.5549,0.2917,0.2866,0.2978,MARCS,0.0001550836426934765
337.918309,32.984028,1.6361480689213768e+18,Gaia DR3 1901463768054939648,1.9014637680549396e+18,1264855939.0,2016.0,337.9183947509647,0.06656326353549957,32.98396626208839,0.09234020859003067,3.8981892176541773,0.10766842,36.2055,23.77691,18.656282421651916,0.08540752,-14.740577794872962,0.10942515,0.1380472183227539,0.12862825,0.21793552,-0.15783873,-0.061270766,-0.14776462,0.24586938,-0.101619974,-0.21451305,0.020436523,369.0,0.0,366.0,3.0,25.611661911010742,1646.408447265625,0.8056727051734924,36.027713775634766,31.0,False,1.3031701,--,--,--,--,--,--,--,43.0,20.0,0.1552298367023468,52.0,14.0,0.0,0.0792674645781517,88.03720092773438,0.0,0.0,2.0903,0.15790562,0.35258624,0.11553446,0.2939624,-101.36269,-71.23082,13.197805,23.365374,False,435.0,4566.549764497588,12.976049423217773,351.9214172363281,16.53839683532715,47.0,1132.1747952204498,9.164747,123.53584,17.703758,49.0,5579.786668046282,12.742659,437.88245,15.381351,1.4698102,0,0,0,0,0.0,2.3224068,1.1653614,1.1570454,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,91.88436955324148,-21.329580724236227,354.6520620341395,38.6759168752859,False,False,0.0,True,False,False,False,False,True,True,False,1.2558524e-13,1.7863525e-10,0.9976672,3634.6748,3629.4768,3640.0364,4.8357,4.8267,4.8452,-0.3553,-0.3766,-0.3316,220.4938,216.7725,224.8398,0.7397,0.7265,0.7533,0.4998,0.4908,0.5091,0.2961,0.2911,0.3015,MARCS,9.227315890237985e-05
337.979964,2.710448,1.6361480689213768e+18,Gaia DR3 2703132814148784256,2.703132814148784e+18,1315223740.0,2016.0,337.98001772026004,0.11902639269828796,2.710432098731925,0.1062980443239212,1.435514997137008,0.1388962,10.335165,14.300192,14.24835991256438,0.13362713,1.2164427748668527,0.12344429,-0.015671363100409508,0.3650174,0.05808867,-0.27486944,-0.3352523,-0.1357442,-0.09798439,-0.069114156,-0.2915111,0.06089216,181.0,0.0,180.0,1.0,0.7354316115379333,197.0423583984375,0.06384880840778351,0.041298024356365204,31.0,True,1.3309343,--,--,--,--,--,--,--,21.0,14.0,0.1885080635547638,23.0,7.0,0.0,0.030440162867307663,164.98992919921875,0.0,0.0,1.037638,0.3494858,0.16839014,0.45909706,0.8930965,-91.87988,-33.60466,-53.084663,24.613682,False,196.0,1437.0795883121853,2.170933246612549,661.9639892578125,17.793664932250977,21.0,398.34652414395225,11.859492,33.588833,18.837889,19.0,1526.1650849946484,13.40909,113.81571,16.78889,1.3391824,0,2,0,2,0.0,2.0489979,1.0442238,1.0047741,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NOT_AVAILABLE,68.97962684972627,-45.0503896783203,340.67189600661595,11.090411766869979,False,False,0.0,False,False,False,False,False,True,True,False,1.0504078e-13,5.4104334e-13,0.999712,3512.9229,3509.7498,3518.0042,4.3932,4.3715,4.4175,-1.5627,-1.6034,-1.5234,357.2338,353.7211,360.2609,0.3198,0.2982,0.3423,0.2203,0.2055,0.2358,0.1227,0.1145,0.1312,MARCS,5.130314874531679e-05
