RAdeg,DEdeg
45.64142,29.04936
45.85153,30.08247
45.89967,18.1973
45.91844,25.92164
45.9575,21.86893
46.08645,8.61708
46.15949,-0.17707
46.29031,29.04434
46.40546,-8.27497
46.54588,28.27382
46.68447,25.55842
46.79936,15.22281
46.8356,29.73329
46.83756,28.02907
46.92267,24.04833
46.95376,0.69152
47.06588,-8.49086
47.14391,-6.55896
47.27083,15.38559
47.61182,5.62127
48.13834,-0.0781
48.21275,-4.80861
48.21372,-0.02527
48.23573,1.18116
48.26798,34.3591
48.3356,-0.67344
48.61046,-4.80215
48.90962,33.25704
49.02303,27.32023
49.2059,0.5162
49.22358,18.01078
49.22369,1.0829
49.26254,24.02191
49.58312,38.27603
49.73558,-0.02959
49.7625,14.80026
49.91771,6.79405
50.2178,0.63277
50.26341,34.43814
50.4002,25.33182
50.73174,24.72681
50.75291,-0.31277
50.83376,3.98695
50.88501,28.07071
50.9004,-1.15978
50.95288,24.54152
51.16928,1.40368
51.18778,-0.15744
51.25672,0.70148
51.37908,25.32977
51.44281,19.34925
51.64835,37.86667
51.86709,-0.83371
52.0135,32.75272
52.15509,5.54908
52.18788,6.41287
52.30139,-1.13329
52.3496,37.35924
52.3717,49.59808
52.37732,-2.08493
52.52551,0.49288
52.61242,-0.13256
52.84089,0.47692
52.99397,26.26588
53.14456,6.11466
53.2037,-1.16659
53.24872,-1.81889
53.40077,29.19254
53.41473,24.15575
53.536,-7.39699
53.62717,4.55972
53.64769,8.1857
53.84978,28.1899
53.99734,5.75804
54.05709,20.71712
54.09176,-6.72492
54.4212,36.96567
54.48671,38.84377
54.57831,4.46205
54.71767,-0.85101
54.7839,0.62843
54.92716,1.21593
54.94185,23.90576
55.07324,1.7586
55.40052,1.01859
55.54519,0.8183
55.61504,24.0679
55.61603,24.59703
55.63401,-0.3177
55.77059,4.2842
55.77281,24.47531
56.00648,0.65288
56.37356,27.08945
56.50658,0.91988
56.52856,9.16614
56.69926,32.54647
56.70531,28.3569
56.72235,28.49732
56.77479,33.33775
56.83583,23.68987
56.92921,30.7269
56.96591,25.79184
57.28974,7.38591
57.3119,9.42423
57.31195,9.42428
57.39923,0.20932
57.80732,28.18477
57.83473,24.2789
57.89277,33.13636
57.99512,0.97239
58.03657,11.64451
58.26051,16.43888
58.37543,15.75361
58.39423,33.70406
58.62342,0.14328
59.2443,29.13468
59.2624,40.27485
59.52049,29.29833
59.53522,50.10877
59.624,35.16159
60.15656,41.16663
60.40346,18.7246
61.51475,37.14637
61.56886,26.75093
61.62986,-3.8689
61.67527,19.41474
61.79353,24.4446
61.80941,24.66135
61.8415,25.05681
61.84997,19.16888
62.05831,27.8949
62.44908,21.44999
62.45482,28.51096
62.53043,-4.21182
62.80004,1.30724
63.0422,30.92785
63.26179,-3.48414
63.37463,31.04141
63.53701,21.64959
63.60924,15.79681
63.78657,2.64907
63.81267,34.2555
64.01641,30.36413
64.56662,27.99903
64.58959,44.43225
65.25356,7.90258
65.48704,30.25805
65.70148,-4.64287
65.71847,-2.49543
65.81226,7.26982
65.83854,-2.84367
66.43992,29.85332
66.75004,39.1465
66.86858,3.60471
67.30553,7.8986
67.43085,32.35374
68.48261,4.55161
68.88257,29.27007
69.47036,22.36073
70.37814,9.51863
70.4153,29.45071
70.56014,8.81192
70.68933,30.24556
70.72187,29.4825
70.74056,22.3866
70.96853,9.97632
71.15726,35.95706
71.55612,29.90681
71.67383,0.02711
71.90964,27.6003
71.90964,27.6003
72.03151,23.09195
72.12277,22.93614
72.25684,52.80354
72.8694,24.4425
72.91829,25.64697
73.15363,14.71519
74.87626,15.99841
76.00668,16.75562
76.30084,30.723
76.30084,30.723
76.6056,23.82274
78.57761,28.23555
78.7009,24.66157
79.2169,13.67706
79.25699,29.41852
79.71076,3.33008
79.87806,29.67373
80.2625,29.96956
80.28013,22.25628
80.47065,29.63148
80.8212,11.4
80.88585,19.55507
81.16044,26.77841
81.71863,-0.41264
81.81027,23.74906
81.93332,-1.14378
82.26452,-1.03672
82.34483,27.57353
82.4129,0.96501
82.61979,0.97692
82.7714,28.11664
82.89466,45.59056
82.94584,0.82674
83.31512,-0.21452
83.62488,46.07685
83.62535,34.0184
83.66192,14.578
83.94191,0.25679
84.07152,9.34616
84.08357,19.31903
84.25366,1.25494
84.52358,0.2526
84.5957,18.41036
84.65207,0.71818
85.02597,35.04126
85.14281,14.34485
85.39918,18.39687
85.58478,28.835
85.82764,57.41978
86.21144,0.96385
86.32785,1.20228
86.46649,49.61417
