RAdeg,DEdeg
44.112687,34.673215
44.550407,34.577651
44.160405,34.818094
44.468691,34.858905
44.618163,34.883898
43.814426,34.141483
44.016574,34.124036
43.770905,33.992117
44.033564,34.195119
43.551014,34.375316
43.322431,33.927039
43.447986,33.872506
43.350644,33.704868
43.543118,33.648103
43.806489,33.622813
43.607921,33.634482
43.817117,34.800212
43.733626,34.605568
43.582933,34.679074
42.605868,37.159771
42.587266,37.081695
42.515866,37.011507
42.310907,37.182515
42.317567,36.908707
42.407267,37.032489
43.53085,37.412556
43.861415,37.380654
43.863434,37.237288
43.678551,37.224983
43.882886,37.339934
43.803062,37.273131
43.934825,37.291963
43.791916,37.24857
43.491922,36.709175
43.308512,36.841118
43.434045,36.743262
42.761041,36.600478
42.54114,36.825881
42.811391,36.709404
42.493138,36.866619
42.466944,36.733536
42.574327,36.661864
42.627089,36.843916
43.277208,37.155643
42.828289,37.513546
42.652919,37.354449
42.809389,37.290647
42.809725,37.515042
42.840281,37.540674
42.582573,37.374931
42.338754,37.262721
42.346659,37.501503
42.242289,37.249131
42.327208,37.361852
42.304144,37.250213
42.982806,37.175495
42.850948,37.262911
42.87542,37.005359
43.10979,37.173013
43.147592,37.27444
42.964197,37.543411
42.987191,37.438232
43.085872,37.53368
43.0398,37.273253
43.177262,37.542273
43.185649,36.724108
91.146744,21.125694
90.99665,21.621245
91.579279,21.030559
90.297183,22.810314
90.419435,22.810616
89.789509,23.779114
90.431104,23.657223
90.919893,22.218164
91.154381,22.350901
90.339517,22.371921
91.887466,22.742444
92.345993,22.634816
91.632792,21.864576
91.703809,25.446403
17.161735,45.634525
17.840951,44.364012
17.616392,44.623999
17.810268,44.134019
17.401257,44.116114
17.878778,43.871256
17.494289,43.95907
18.420554,44.355604
16.537984,44.493904
17.304529,44.285491
17.409765,44.376937
16.931785,44.277474
15.713241,44.558078
15.746134,44.405963
15.77455,44.868449
14.922175,44.481664
14.904168,44.974563
14.919879,45.061707
14.785917,45.055925
15.093158,44.217413
15.1807,44.34802
15.95705,45.217229
19.061541,47.307835
18.033623,47.648295
18.515249,47.642171
21.611542,45.794766
21.40546,45.840153
20.88879,46.271549
20.531096,45.841183
20.189991,46.320766
15.610189,45.472381
16.08393,46.085186
15.061466,46.177542
14.992136,46.17267
15.580118,46.280583
15.727928,46.365016
16.129921,45.757917
15.4443,45.918971
15.308914,45.864333
17.475355,46.312141
16.733883,46.100461
17.332148,46.588751
18.547473,46.369298
16.930733,46.604152
16.977093,46.679823
17.770304,46.198029
17.866872,46.775846
16.509309,46.787141
15.511572,46.972993
15.780867,47.035402
16.439985,47.504963
90.731701,22.206939
90.592222,22.058282
92.338308,23.010498
91.674438,22.931939
88.918906,22.587453
88.69852,22.233066
88.754211,22.311026
90.73124,25.5405
93.318504,23.815612
93.558478,23.87191
88.693376,23.497114
