RAdeg,DEdeg
36.13502,3.491325
36.13502,3.491325
36.24571,1.94944
36.288582,0.03004
36.289139,1.691176
36.386182,1.796093
36.4306,-0.10098
36.53454,3.552533
36.60334,0.51173
36.712234,2.80974
36.773826,29.897887
36.812785,1.2095909
36.945826,1.536597
36.979755,3.193132
37.256127,3.606392
37.326496,-0.042526
37.630882,26.14356
37.876545,53.550924
37.995037,25.493797
38.18143,7.59917
38.18143,7.59917
38.204352,2.701738
38.304671,5.882446
38.304671,5.882446
38.304671,5.882446
38.304671,5.882446
38.304671,5.882446
38.480826,2.117182
38.519165,1.124052
38.83179,2.107926
38.978233,-0.470016
39.019319,-9.2774938
39.035543,9.911385
39.035543,9.911385
39.158783,1.562837
39.16614,1.1119131
39.569645,3.873172
39.874858,2.55278
39.8919,22.417546
39.941423,3.588085
40.100063,2.392824
40.100063,2.392824
40.100063,2.392824
40.456877,18.802419
40.683673,26.588592
41.085366,26.300129
41.310627,-0.800189
41.429029,2.332682
42.058392,2.521994
42.233254,8.658379
42.312259,-7.9432969
42.535829,4.715475
42.71423,54.199108
42.71849,33.689376
42.770535,34.240086
42.814529,-0.40883
42.85772,1.0132974
42.914855,30.08016
43.0372,-0.700869
43.037241,-0.700927
43.124012,34.127522
43.157022,-0.821178
43.254055,0.391774
43.303617,-3.931476
43.428396,27.450935
43.566827,-0.810883
43.607502,0.3140889
43.790407,28.056192
43.804523,-0.272925
43.88652,3.673986
44.066873,28.287025
44.177054,27.636613
44.373445,24.96552
44.385944,0.371417
44.478199,24.963207
44.572764,53.948702
44.67177,0.61946
44.780292,28.105012
44.906242,1.177871
44.990585,-2.517584
45.135066,2.283863
45.215908,0.948364
45.310537,24.707953
45.41039,27.147166
45.497226,31.229654
45.507416,0.893928
45.641419,29.049357
45.851534,30.082467
45.899673,18.197299
45.918445,25.92164
45.957501,21.868928
46.086454,8.617085
46.159492,-0.177069
46.290312,29.044342
46.405461,-8.274968
46.545877,28.273818
46.684467,25.558418
46.799355,15.222808
46.835599,29.733288
46.837557,28.029066
46.922672,24.048332
46.953762,0.691518
47.065876,-8.490858
47.14391,-6.558955
47.270828,15.385594
47.61182,5.621268
48.138336,-0.078104
