DEdeg,solution_id,designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
-0.59556559,1.64E+18,Gaia DR3 2542891978086063744,2.54E+18,10.48872854,0.254463077,-0.595595206,0.143219292,1.289231805,0.30382127,4.243389,1.0491561,381.2050894,19.23447037,20.22509,18.216812,2.008278
38.651795,1.64E+18,Gaia DR3 370609090135026944,3.71E+17,16.73969749,0.078522563,38.6519221,0.060840394,1.289508688,0.09670346,13.33467,0.9741203,2574.553107,17.16061211,17.747948,15.964434,1.783514
39.031989,1.64E+18,Gaia DR3 367866216646238208,3.68E+17,13.4536211,0.068090089,39.03191463,0.050680257,1.289667127,0.08333558,15.475588,1.0148562,1839.851149,17.5254097,18.435217,16.607069,1.8281479
-1.02359247,1.64E+18,Gaia DR3 2679848039794974080,2.68E+18,330.2054194,0.32926321,-1.023648729,0.330392301,1.289837059,0.39371297,3.2760847,1.0346804,253.6558756,19.676754,20.53553,18.49565,2.0398808
0.29319308,1.64E+18,Gaia DR3 2536356931942051968,2.54E+18,16.05423051,0.409161508,0.29319346,0.2908746,1.290343377,0.48447582,2.6633804,0.99665207,227.4576895,19.795115,20.973433,18.740894,2.2325382
37.474503,1.64E+18,Gaia DR3 4032805692003568768,4.03E+18,176.4535292,0.26276204,37.47424532,0.196229592,1.291390827,0.30256724,4.268112,1.0482254,365.2510038,19.2808876,20.308962,18.360918,1.9480438
40.287478,1.64E+18,Gaia DR3 374186037683986432,3.74E+17,13.38182289,0.057143312,40.28744153,0.03897604,1.292511741,0.07238487,17.856102,1.1307933,3549.258879,16.81202316,17.84358,15.803391,2.0401888
42.044191,1.64E+18,Gaia DR3 819664031353885952,8.20E+17,146.4826331,0.075479373,42.04415666,0.055799574,1.292557263,0.09785058,13.209499,1.0087003,1703.329862,17.60911942,18.517523,16.674685,1.8428383
56.493864,1.64E+18,Gaia DR3 1033465961456840192,1.03E+18,123.131401,0.06627278,56.49385011,0.059639186,1.292637099,0.08457936,15.283127,0.9947341,1900.973498,17.48992729,18.449516,16.534126,1.91539
16.775555,1.64E+18,Gaia DR3 658070765925227008,6.58E+17,129.5581246,0.187835068,16.77552735,0.132630929,1.293774583,0.21650004,5.975863,1.044515,593.5633914,18.75369835,19.860394,17.702045,2.158348
49.07420157,1.64E+18,Gaia DR3 823648249176127104,8.24E+17,152.0657358,0.285705388,49.07418637,0.333198577,1.293978192,0.4282468,3.0215712,1.0864044,188.5351933,19.998886,20.737457,18.741127,1.9963303
54.085883,1.64E+18,Gaia DR3 1030516689018114944,1.03E+18,128.8989301,0.204498336,54.08564921,0.186146274,1.294123717,0.24100542,5.369687,1.0054857,374.0184163,19.25513458,20.290789,18.271452,2.0193367
24.380295,1.64E+18,Gaia DR3 3426326721778880640,3.43E+18,91.84651745,0.065028414,24.38018112,0.054226406,1.294544586,0.075741544,17.091606,0.9799026,3063.764667,16.97172928,17.847593,16.030344,1.8172493
-0.8983856,1.64E+18,Gaia DR3 2536664795198562944,2.54E+18,12.88495476,0.108711883,-0.89834945,0.064636961,1.294605058,0.12247469,10.570389,1.1264579,1555.147642,17.707937,18.735125,16.720013,2.015112
41.345667,1.64E+18,Gaia DR3 381236003164967424,3.81E+17,9.952899184,0.082930543,41.34562827,0.063061789,1.294865553,0.10003022,12.944743,1.39125,3080.73719,16.96573067,17.908232,15.95068,1.957552
44.1199,1.64E+18,Gaia DR3 376668494420496896,3.77E+17,17.29043244,0.129652649,44.11988059,0.085379936,1.295089206,0.11246776,11.515203,0.99350864,1614.262383,17.66743,18.699007,16.680653,2.0183544
-2.495432,1.64E+18,Gaia DR3 3205760673455570816,3.21E+18,65.71849524,0.09397494,-2.495443288,0.062046956,1.295095843,0.109452985,11.832439,0.9675603,1794.993245,17.55220985,18.520351,16.592463,1.9278889
40.102221,1.64E+18,Gaia DR3 368950369470638464,3.69E+17,11.61141649,0.056542903,40.10218814,0.050972074,1.295510397,0.07808415,16.591208,0.99967647,2605.637888,17.1475811,18.072157,16.23527,1.8368874
57.044503,1.64E+18,Gaia DR3 1034491015531168128,1.03E+18,127.4088145,0.078487143,57.04441481,0.080390736,1.295564634,0.11995881,10.800079,1.3943733,2415.033937,17.23005867,18.345936,16.124096,2.22184
31.70959277,1.64E+18,Gaia DR3 880286463945347072,8.80E+17,114.6076808,0.231470004,31.70955137,0.219647601,1.295999347,0.27131468,4.776739,1.0670313,455.4370979,19.04129601,19.934221,18.119274,1.8149471
34.990082,1.64E+18,Gaia DR3 1471610654950626432,1.47E+18,204.0736686,0.05632263,34.9900818,0.051520161,1.29601055,0.087934,14.738446,1.0086784,1561.55891,17.70347023,18.595531,16.78328,1.812252
43.90154,1.64E+18,Gaia DR3 781637112470043904,7.82E+17,165.2572631,0.168249667,43.90132747,0.206961095,1.296394295,0.27723113,4.676222,1.0164143,559.6495905,18.81757545,19.701466,17.887646,1.8138199
0.68679011,1.64E+18,Gaia DR3 3221905588661447168,3.22E+18,82.3480871,0.238411397,0.686778101,0.18441844,1.296756118,0.29780385,4.354397,0.9660117,327.700261,19.39867401,20.7947,18.264334,2.530367
35.00791,1.64E+18,Gaia DR3 140119425382147712,1.40E+17,41.92417843,0.115599588,35.00786212,0.087105177,1.297104211,0.11733789,11.054437,0.9916874,1584.748693,17.68746567,18.61759,16.767166,1.8504238
41.00995764,1.64E+18,Gaia DR3 1491900119112231168,1.49E+18,215.0039749,0.428236395,41.00985723,0.436569482,1.29814743,0.56566966,2.294886,1.0035168,115.8827633,20.527319,21.031456,19.394945,1.6365108
48.21573251,1.64E+18,Gaia DR3 1012417013933543936,1.01E+18,136.9264985,0.631848991,48.21573026,0.471294701,1.298681962,0.74000454,1.754965,1.0172297,105.5533479,20.628687,20.993256,19.511068,1.4821873
0.35021941,1.64E+18,Gaia DR3 2500885862196285056,2.50E+18,36.02490813,0.732205868,0.35015328,0.524788797,1.299205754,0.8885457,1.4621711,1.1593006,186.4410831,20.01101303,21.234257,18.784092,2.4501648
23.616829,1.64E+18,Gaia DR3 3427816560034682112,3.43E+18,88.64157348,0.088502161,23.61684851,0.072688058,1.299434095,0.10070943,12.902804,1.0251151,1708.040695,17.60612106,18.679873,16.605597,2.074276
36.709175,1.64E+18,Gaia DR3 140720622020823680,1.41E+17,43.49191544,0.08399339,36.70914869,0.07444264,1.300124635,0.1048894,12.395196,0.9790301,2442.968891,17.21757126,18.166117,16.27745,1.8886662
34.698092,1.64E+18,Gaia DR3 140061774037277568,1.40E+17,42.13238733,0.090356708,34.69802021,0.080350786,1.300135742,0.10390391,12.512866,1.0943761,2257.989225,17.30306244,18.285439,16.283216,2.002222
-0.14263455,1.64E+18,Gaia DR3 2536086413427462144,2.54E+18,13.96368656,0.43280977,-0.14267088,0.283212781,1.301686657,0.503024,2.5877228,1.0766795,228.1958545,19.79159737,21.04649,18.662308,2.384182
9.2960065,1.64E+18,Gaia DR3 3098455996510104064,3.10E+18,123.7631716,0.482000858,9.296011445,0.336929053,1.301785245,0.6392318,2.0364838,1.0487611,226.6832306,19.79881859,20.626686,18.734383,1.8923035
56.089227,1.64E+18,Gaia DR3 1033438611105144576,1.03E+18,123.3688193,0.061401606,56.08920642,0.048032153,1.302184894,0.07491325,17.38257,0.9785688,2947.286087,17.01381111,18.0401,16.024113,2.0159874
57.671746,1.64E+18,Gaia DR3 1083123548699101568,1.08E+18,122.601449,0.06555523,57.671735,0.058690146,1.302477435,0.09325649,13.966615,1.0103099,1993.195776,17.43849182,18.404379,16.490852,1.9135265
2.80974,1.64E+18,Gaia DR3 2515277812274212480,2.52E+18,36.71226558,0.125885963,2.809666908,0.109375961,1.303047467,0.13907738,9.369226,0.9651791,1145.664974,18.03972244,18.969994,17.135666,1.8343277
32.988556,1.64E+18,Gaia DR3 896222068219901824,8.96E+17,109.5702058,0.082206376,32.9885372,0.074739508,1.30339774,0.094158545,13.842586,0.8799811,1910.639897,17.48441887,18.492693,16.58566,1.907032
42.03499319,1.64E+18,Gaia DR3 1492384174810635264,1.49E+18,216.613615,0.160320446,42.03507451,0.174523428,1.303655413,0.22950758,5.680228,1.0608124,374.328873,19.25423431,20.52058,18.169086,2.3514938
24.17993578,1.64E+18,Gaia DR3 147076963164286592,1.47E+17,72.36144413,0.767846882,24.17993337,0.343047053,1.30379847,0.92843324,1.4042996,1.0316292,138.6069183,20.33290482,21.276312,19.03683,2.239481
41.299242,1.64E+18,Gaia DR3 375084201244908672,3.75E+17,13.12988188,0.077669092,41.2992122,0.058002152,1.303957302,0.09776463,13.33772,0.9474741,1817.612874,17.53861427,18.429771,16.596195,1.8335762
31.340761,1.64E+18,Gaia DR3 706862423337469696,7.07E+17,131.1541107,0.074753255,31.34073457,0.04756536,1.304025111,0.101340875,12.867711,1.1104453,2337.209108,17.26562309,18.269627,16.261734,2.0078926
-0.58865852,1.64E+18,Gaia DR3 2497715179899521536,2.50E+18,42.87458459,0.310714245,-0.588705167,0.361040056,1.304127608,0.39671257,3.2873363,1.0563954,253.5030166,19.677408,21.128414,18.61627,2.512144
34.427984,1.64E+18,Gaia DR3 1479110943456798976,1.48E+18,214.177066,0.037352201,34.42796938,0.054097604,1.304425762,0.08410851,15.508844,1.0087482,1926.761879,17.47529602,18.424608,16.513903,1.9107056
41.726202,1.64E+18,Gaia DR3 374360520731200768,3.74E+17,14.11730475,0.390472561,41.72612692,0.296183795,1.304575706,0.48486924,2.6905723,4.334609,3099.389714,16.95917702,17.822855,15.508975,2.31388
5.89895644,1.64E+18,Gaia DR3 1162264192347755776,1.16E+18,230.0719999,0.197441533,5.898787753,0.151486292,1.304634731,0.20692262,6.30494,1.006912,761.7657361,18.48281288,19.429848,17.518404,1.9114437
34.141483,1.64E+18,Gaia DR3 137167240957555328,1.37E+17,43.81441763,0.122845724,34.14140736,0.100075796,1.306571614,0.14015321,9.322452,0.97496957,1279.118187,17.92008972,18.85247,16.958672,1.8937988
-0.06126093,1.64E+18,Gaia DR3 2509427895018101504,2.51E+18,25.62168401,0.345141947,-0.061312474,0.227249101,1.30740524,0.41630363,3.140509,0.9257114,324.6115734,19.408957,20.78505,18.308455,2.476595
30.145864,1.64E+18,Gaia DR3 4020373548388420096,4.02E+18,178.1383789,0.064067505,30.14578485,0.051613573,1.307600905,0.07363487,17.757902,1.0260719,2749.00446,17.08942795,17.858051,16.223816,1.6342354
-0.28961739,1.64E+18,Gaia DR3 2543138371769823104,2.54E+18,9.440624478,0.193262413,-0.289635092,0.153171971,1.30816029,0.22828971,5.730264,1.0516713,526.3588872,18.8841629,19.95793,17.816895,2.141035
34.9164,1.64E+18,Gaia DR3 140256078357716096,1.40E+17,43.53828513,0.107326038,34.91638456,0.101090729,1.30889726,0.12293156,10.647366,1.0510503,1604.557746,17.67397881,18.657522,16.700026,1.9574966
37.062213,1.64E+18,Gaia DR3 141439599545927424,1.41E+17,42.21929747,0.117154904,37.0622082,0.094794571,1.310307202,0.1422819,9.209233,1.0310909,1351.67495,17.86018562,18.848055,16.901085,1.94697
0.7066993,1.64E+18,Gaia DR3 2646148592519096960,2.65E+18,353.7802676,0.3111718,0.706695928,0.237180889,1.310622343,0.37777302,3.4693382,0.99916357,319.1286618,19.42745209,20.14571,18.54109,1.60462
36.260245,1.64E+18,Gaia DR3 141330576096417280,1.41E+17,42.24915114,0.078366615,36.26015219,0.083493657,1.310830162,0.0981569,13.354437,1.0041091,2280.957117,17.2920742,18.126423,16.39622,1.7302036
