DEdeg,solution_id,designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
43.040796,1.64E+18,Gaia DR3 373357044571670912,3.73E+17,19.2181917,0.025856679,43.04071088,0.028741151,22.75634293,0.03462801,657.1658,1.0211967,14580.98104,15.2779,17.078785,14.005805,3.07298
39.524334,1.64E+18,Gaia DR3 368827262823313280,3.69E+17,10.7133109,0.016374001,39.52421805,0.014021012,13.88019199,0.021194687,654.8902,1.0937593,30632.74427,14.47190189,15.92336,13.2923765,2.6309834
47.504963,1.64E+18,Gaia DR3 401350129579493248,4.01E+17,16.4399052,0.017095918,47.50446163,0.013744273,14.55390894,0.022313382,652.2502,1.0795134,37607.71857,14.24917412,15.6592,13.0870285,2.5721712
21.860588,1.64E+18,Gaia DR3 3375442216998712704,3.38E+18,92.90920067,0.014473959,21.86043787,0.012306686,11.04717291,0.017195737,642.43677,1.0410006,81523.98357,13.40915298,14.432364,12.405156,2.0272083
15.267376,1.64E+18,Gaia DR3 4543493796175007232,4.54E+18,260.6123168,0.009443332,15.26732438,0.009389206,8.975832282,0.013998055,641.22,1.0647225,69876.44411,13.57653999,14.487336,12.631746,1.8555899
37.154444,1.64E+18,Gaia DR3 141531992882590208,1.42E+17,42.48735957,0.020211762,37.15461017,0.017964154,15.44259484,0.02409771,640.83246,1.0537508,54944.33396,13.8375597,14.975936,12.778876,2.1970596
22.48225,1.64E+18,Gaia DR3 3423796096984742016,3.42E+18,90.98135567,0.012445039,22.48234377,0.010450562,9.253347625,0.014514823,637.5102,1.0972587,93781.09101,13.257079,14.221657,12.283622,1.938035
42.686722,1.64E+18,Gaia DR3 2116833150767136768,2.12E+18,281.4260528,0.010151823,42.68665641,0.011342116,7.29087678,0.01143735,637.46204,0.99800986,50756.52522,13.92363739,14.88775,12.952905,1.934845
26.742968,1.64E+18,Gaia DR3 4006473213152260736,4.01E+18,179.7716442,0.015984559,26.74292333,0.012185679,11.21759609,0.017822651,629.4011,1.1159027,69073.17191,13.58909321,14.67826,12.551653,2.126607
36.236204,1.64E+18,Gaia DR3 141893251171488640,1.42E+17,45.07914192,0.023919217,36.2363054,0.020110562,16.82417508,0.027508654,611.5957,1.6160018,52177.63358,13.89365578,15.168055,12.774647,2.3934078
34.107983,1.64E+18,Gaia DR3 139785246862634240,1.40E+17,42.79136611,0.02283245,34.10787257,0.019111466,15.52747471,0.025597462,606.6021,1.1214055,28651.75346,14.54448891,15.823958,13.429521,2.3944378
