RAdeg,DEdeg
120.74968,55.687413
120.63596,55.748484
120.9086,55.300823
125.54031,57.963689
124.13631,57.880481
124.78793,58.667412
127.41696,57.613588
127.91465,57.712787
126.00208,57.793318
127.47347,56.347438
126.93237,57.060667
122.43154,58.190522
123.55065,57.974638
121.72323,57.947438
89.85063,23.583637
89.653249,23.129771
90.644976,21.946051
90.156845,22.172224
92.423758,23.677168
92.334052,23.907136
89.262467,22.48318
89.270958,22.237981
88.621679,23.259246
90.682391,25.560221
91.207586,25.415771
91.758964,25.233054
92.306315,24.687285
88.779011,24.319989
88.312731,23.4328
89.016999,23.974032
88.58667,23.710016
91.250157,24.575949
91.042426,24.260222
90.678699,24.008347
89.601155,25.020504
90.156854,24.91894
89.270335,24.649793
90.212288,24.869763
90.421593,24.971043
89.522631,24.911396
123.41511,56.644226
124.27516,55.059482
124.3502,55.518646
124.50459,55.514679
123.25776,55.258821
126.14307,57.479577
125.69488,57.403793
125.88092,57.325091
126.2886,56.534947
126.05327,56.766418
123.86885,58.56344
126.69004,57.897165
128.12698,57.619286
123.24728,57.061735
122.61114,56.946161
125.3032,56.923073
124.97268,56.927408
124.45516,57.112345
123.81615,57.440924
123.70719,57.037892
123.29659,57.03544
91.089819,21.758308
91.751647,20.948645
90.857286,21.024844
89.541385,22.799314
89.627408,22.931328
89.705651,22.981202
90.603082,23.421186
91.343501,24.186273
90.678716,24.101088
123.90008,54.151295
123.94908,54.289386
124.73111,53.877433
124.14273,53.845166
123.71665,53.928427
122.21792,56.643839
124.01461,56.816797
124.00761,56.501231
126.44221,56.423052
126.51857,56.618378
125.42392,57.052777
125.89111,57.020538
127.37555,57.482675
127.28123,57.955341
123.14425,57.37656
125.14561,56.948487
123.2388,57.692
40.213181,35.279175
93.063145,21.871413
89.381052,24.178759
92.348472,23.400447
124.90086,0.14534
122.73533,-0.468857
122.52753,0.043696
121.97912,0.138836
122.95154,-0.523634
122.95835,0.977501
122.60213,0.680893
122.45226,0.875727
122.19331,0.957153
9.256132,40.376314
11.698469,40.503743
13.215737,39.551163
12.954288,38.777505
12.579674,41.245333
11.990519,41.016453
11.575762,42.716861
10.980608,43.105533
10.053289,43.02735
14.417349,40.936211
13.767134,41.332079
9.547165,41.516143
43.710308,36.530151
43.642265,35.989709
44.097823,35.392848
44.421982,35.010622
42.882575,37.335483
92.059803,21.796293
91.824271,24.535704
88.606525,22.22524
121.54245,55.093728
124.49189,54.939176
120.94591,55.884008
17.613458,43.683223
16.418509,43.924841
16.169814,43.944604
17.184962,43.590305
16.030712,43.596368
17.794687,43.8835
17.290376,44.1199
19.237181,43.418379
19.218863,43.040796
10.312439,38.7738
9.895665,38.821097
10.016067,38.696564
10.103301,38.89373
9.25997,39.110634
9.847386,38.43991
9.577339,38.687054
9.489733,38.593043
9.37682,40.612389
11.45077,40.391634
11.861989,40.819845
11.917105,40.585045
11.208661,39.456209
11.263101,39.597893
11.104825,39.741329
13.057922,39.304963
13.089132,40.336604
12.736392,40.095436
89.51567,21.734821
89.448998,21.708689
90.233175,21.72917
89.134812,21.653746
89.601696,21.750428
90.959782,22.330003
92.34744,21.563618
90.346044,24.213326
91.363894,24.059994
91.398298,24.487116
89.452901,24.56558
89.892991,25.37386
89.187948,22.104383
89.614713,23.115758
90.820422,23.450641
91.537199,23.550899
92.600209,21.568875
91.710415,21.267466
91.040119,24.173974
90.347037,24.604582
90.569349,24.108614
90.793997,24.021601
89.639269,24.872112
91.7604,20.983606
92.880592,25.106295
91.860935,25.377857
16.996147,44.895
9.838933,40.358707
9.462802,40.739521
9.718682,40.90881
10.29949,41.16526
11.288356,40.284294
13.378272,39.649162
11.970824,42.943909
10.265046,42.850689
11.319828,42.348293
11.256503,42.07225
11.120003,41.82991
10.903214,41.367111
8.868147,42.048008
9.475251,40.572015
11.332963,39.31349
13.594506,39.885355
13.124415,39.47449
11.541,41.583
11.103979,41.641819
20.048857,45.172276
17.400468,43.307743
18.700087,43.153988
17.27443,45.775155
18.472941,44.250591
20.863969,45.148376
21.347662,44.339584
21.513175,44.900356
19.089267,43.966789
18.597402,47.171734
42.167142,35.260132
91.337318,23.565868
18.608758,46.855343
18.213333,47.460497
16.356724,46.80658
90.98139,22.48225
91.288019,25.45859
89.461319,24.002823
90.832643,24.035036
123.24345,56.64843
128.218903,57.0541
120.64505,56.517212
120.99244,56.970898
121.55069,56.706692
124.57062,57.665886
121.37781,57.383926
121.7072,57.344238
41.824276,37.078213
125.843285,58.571964
12.989835,40.900795
9.146651,39.871593
125.39972,56.947052
121.282707,56.915436
42.092104,34.493893
40.627243,34.742241
40.596252,34.246552
40.513456,34.031395
40.34898,34.173
