ID,PLATE,MJD,FIBER,RA,DEC,U,Z,I,G,R,ERR_U,ERR_Z,ERR_I,ERR_G,ERR_R,EXTINCTION_U,EXTINCTION_Z,EXTINCTION_I,EXTINCTION_G,EXTINCTION_R,PMRA,PMDEC,PMRAERR,PMDECERR,CAH2,CAH3,TIO5,MATCH,DIST22,NFIT,SIGRA,SIGDEC,RV,ZETA,SP,MR,MI,MZ,D,ZGAL,UGAL,VGAL,WGAL,VTOTG,ACTIVITY,EWHA,EWHAERR,SNR,D_ERR,VTR,VTR_ERR
SDSS124626.9-023810.8,337,51997,312,191.61192296,-2.63632353,23.46944808959961,17.94985580444336,19.76829719543457,24.524749755859375,22.40106773376465,1.2650120258331299,0.02665800042450428,0.029572999104857445,0.5615969896316528,0.16469800472259521,0.13058799505233765,0.037466999143362045,0.05284300073981285,0.09608600288629532,0.06968899816274643,-9999.0,-9999.0,-9999.0,-9999.0,0.3894107937812805,0.6090826392173767,0.5652190446853638,-9999,-9999.0,-9999,-9999.0,-9999.0,-618.8389892578125,0.6498556733131409,4,22.40686798095703,18.854904174804688,5.138984680175781,9.658333778381348,23.3778018951416,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-0.23115499317646027,1.6782599687576294,2.0635600090026855,1.9240410327911377,-9999.0,-9999.0
SDSS125438.5-012710.8,337,51997,601,193.66026388,-1.45299677,23.698955535888672,17.714696884155273,18.538862228393555,21.839704513549805,19.928159713745117,0.8466100096702576,0.023910999298095703,0.016287999227643013,0.07051199674606323,0.022038999944925308,0.1098570004105568,0.031518999487161636,0.044454000890254974,0.08083099871873856,0.058625999838113785,26.120500564575195,-19.363500595092773,5.445879936218262,5.445879936218262,0.2731551229953766,0.41798892617225647,0.47744306921958923,1,22.94770050048828,5,184.79299926757812,181.36099243164062,63.977298736572266,0.6042357683181763,6,13.064485549926758,11.456273078918457,10.792684555053711,229.61993408203125,216.508056640625,62.3067741394043,-12.891922950744629,52.98835754394531,73.14215850830078,-9999,0.7135840058326721,0.37237998843193054,10.39050006866455,42.36170959472656,35.44969177246094,10.64316177368164
SDSS130232.5-032127.0,339,51692,215,195.63534102,-3.35749998,23.15143394470215,19.13901710510254,19.82276153564453,21.358226776123047,20.659847259521484,0.5994160175323486,0.06641600281000137,0.04719800129532814,0.0605660006403923,0.05270100012421608,0.14486299455165863,0.041561998426914215,0.058619000017642975,0.10658899694681168,0.07730700075626373,-9999.0,-9999.0,-9999.0,-9999.0,0.5418207049369812,0.6504045128822327,0.7998723983764648,-9999,-9999.0,-9999,-9999.0,-9999.0,-165.4709930419922,0.3760528266429901,2,5.869412899017334,5.21562385559082,4.554843902587891,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-1.6759400367736816,0.8040099740028381,4.442800045013428,-9999.0,-9999.0,-9999.0
SDSS130813.4-030416.2,339,51692,64,197.05595188,-3.07117973,22.41445541381836,18.02385139465332,18.617429733276367,21.328025817871094,19.531221389770508,0.37561601400375366,0.0369889996945858,0.02527100034058094,0.04980500042438507,0.030477000400424004,0.11751800030469894,0.03371699899435043,0.047554001212120056,0.08646900206804276,0.06271400302648544,1.6241099834442139,-59.175498962402344,4.889309883117676,4.889309883117676,0.4068228006362915,0.5822758078575134,0.743726909160614,1,6.595049858093262,5,144.57899475097656,563.7769775390625,107.2969970703125,0.37936609983444214,4,12.039273262023926,10.996624946594238,10.603710174560547,306.0885009765625,278.6360168457031,88.94488525390625,-89.81706237792969,56.3959846496582,137.5301513671875,0,0.3180850148200989,0.29747098684310913,7.516839981079102,56.5470085144043,86.03427124023438,18.804397583007812
SDSS125541.7-023845.7,338,51694,271,193.92382554,-2.64603735,22.911033630371094,16.968215942382812,17.678117752075195,20.654443740844727,18.975643157958984,0.39812999963760376,0.020143000409007072,0.017659999430179596,0.047947000712156296,0.020367000252008438,0.11167299747467041,0.03203999996185303,0.04518900066614151,0.08216799795627594,0.05959499999880791,31.739999771118164,11.126999855041504,4.61338996887207,4.61338996887207,0.40302443504333496,0.6597468256950378,0.4968283772468567,1,27.4143009185791,5,284.20599365234375,40.021400451660156,8.014419555664062,0.8061588406562805,3,11.951362609863281,10.578309059143066,10.018705368041992,247.1366729736328,229.34910583496094,38.2794189453125,38.960025787353516,20.0637264251709,40.27242660522461,0,0.014070799574255943,0.15688499808311462,12.195899963378906,45.58323287963867,39.466915130615234,10.564208030700684
SDSS125637.1-022452.5,338,51694,277,194.15470865,-2.41457219,24.312654495239258,17.795888900756836,19.500425338745117,23.815017700195312,21.951906204223633,0.9928399920463562,0.027286000549793243,0.027715999633073807,0.3480280041694641,0.1088939979672432,0.11268100142478943,0.032329000532627106,0.04559699818491936,0.0829090029001236,0.06013299897313118,-9999.0,-9999.0,-9999.0,-9999.0,0.08077656477689743,-0.2510606050491333,0.9277902245521545,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,0.07189695537090302,14,16.73745346069336,12.588899612426758,8.349376678466797,107.36531066894531,108.32760620117188,-9999.0,-9999.0,-9999.0,-9999.0,0,-1.6638400554656982,0.9376789927482605,7.309299945831299,20.497194290161133,-9999.0,-9999.0
SDSS092745.2-003903.9,474,52000,99,141.93828609,-0.65109671,23.877351760864258,17.71636199951172,18.86572265625,22.399930953979492,21.03174591064453,0.8623340129852295,0.021654000505805016,0.016217000782489777,0.09736700356006622,0.043258000165224075,0.15127499401569366,0.04340200126171112,0.06121399998664856,0.11130700260400772,0.08072900027036667,-9999.0,-9999.0,-9999.0,-9999.0,0.35133275389671326,0.6967387199401855,0.5645958185195923,-9999,-9999.0,-9999,-9999.0,-9999.0,-24.250600814819336,0.6862255930900574,3,11.216876983642578,8.24041748046875,8.130134582519531,884.765380859375,507.5352478027344,-9999.0,-9999.0,-9999.0,-9999.0,-9999,0.6259940266609192,0.4636699855327606,11.074399948120117,163.9300994873047,-9999.0,-9999.0
SDSS083632.5+514118.9,444,51883,81,129.13556717,51.68857062,23.47330093383789,18.638683319091797,19.068443298339844,21.643863677978516,20.14000129699707,1.084967017173767,0.04438000172376633,0.9527779817581177,5.6371588706970215,2.1978840827941895,0.17986099421977997,0.05160300061106682,0.072782002389431,0.13233999907970428,0.09598399698734283,-9999.0,-9999.0,-9999.0,-9999.0,0.6019233465194702,0.76395183801651,0.7075439095497131,-9999,-9999.0,-9999,-9999.0,-9999.0,39.450401306152344,0.7142623066902161,1,10.279108047485352,9.36023998260498,8.89538288116455,897.3914794921875,556.498779296875,-9999.0,-9999.0,-9999.0,-9999.0,0,0.044331200420856476,0.40830498933792114,6.351530075073242,923.2262573242188,-9999.0,-9999.0
SDSS085051.7+565804.7,448,51900,375,132.71531727,56.9679621,24.727922439575195,18.34068489074707,18.8298282623291,21.389997482299805,19.61664390563965,1.7505099773406982,0.04091300070285797,0.025422999635338783,0.0628570020198822,0.02366800047457218,0.26930901408195496,0.07726600021123886,0.10897800326347351,0.1981550008058548,0.14371900260448456,-15.562800407409668,-0.767579972743988,5.611269950866699,5.611269950866699,0.6682676672935486,0.8474863767623901,0.7874111533164978,1,30.125499725341797,5,296.4930114746094,460.21099853515625,-0.2072959989309311,0.6886322498321533,0,11.396562576293945,10.513808250427246,10.21066665649414,412.356201171875,272.7602233886719,-8.36369800567627,12.605681419372559,-16.176416397094727,30.508222579956055,0,0.1616860032081604,0.2143940031528473,15.169699668884277,76.0916748046875,30.507518768310547,16.525449752807617
SDSS114739.1+023743.9,514,51994,599,176.9128142,2.62886708,22.951980590820312,17.957157135009766,19.655994415283203,24.12871742248535,22.02118682861328,0.4629569947719574,0.034623000770807266,0.03087400086224079,0.4810119867324829,0.11722700297832489,0.13438700139522552,0.03855599835515022,0.054381001740694046,0.09888099879026413,0.07171700149774551,-9999.0,-9999.0,-9999.0,-9999.0,0.23782356083393097,0.4464235305786133,0.3038802742958069,-9999,-9999.0,-9999,-9999.0,-9999.0,-89.05699920654297,0.8013399243354797,6,16.01923179626465,11.94638729095459,8.695561408996582,153.4785919189453,149.41317749023438,-9999.0,-9999.0,-9999.0,-9999.0,-9999,11.430000305175781,8.038029670715332,1.456779956817627,29.460908889770508,-9999.0,-9999.0
